episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-4.789503917640007,-4.789503917640007,-1.0
1.0,-4.79121058038062,-4.789503917640007,-1.0
5.0,-4.778372441071826,-4.778372441071826,-0.7105088919213115
10.0,-4.7772400739715986,-4.7772400739715986,-0.6810599500321649
15.0,-4.780960125418961,-4.7772400739715986,-0.6810599500321649
20.0,-4.785732154875219,-4.7772400739715986,-0.6810599500321649
25.0,-4.788312393464694,-4.7772400739715986,-0.6810599500321649
30.0,-4.780585762707921,-4.7772400739715986,-0.6810599500321649
35.0,-4.783179104157987,-4.7772400739715986,-0.6810599500321649
40.0,-4.778944279935993,-4.7772400739715986,-0.6810599500321649
45.0,-4.780356450135705,-4.7772400739715986,-0.6810599500321649
50.0,-4.782480077417266,-4.7772400739715986,-0.6810599500321649
55.0,-4.785023517978343,-4.7772400739715986,-0.6810599500321649
60.0,-4.7603933305234465,-4.7603933305234465,-0.24293456761312662
65.0,-4.760948214217467,-4.7603933305234465,-0.24293456761312662
70.0,-4.760720658774643,-4.7603933305234465,-0.24293456761312662
75.0,-4.75855385698535,-4.75855385698535,-0.19509623910717983
80.0,-4.757488725431823,-4.757488725431823,-0.1673958606541135
85.0,-4.761815001057298,-4.757488725431823,-0.1673958606541135
90.0,-4.759455708703981,-4.757488725431823,-0.1673958606541135
95.0,-4.760832434926235,-4.757488725431823,-0.1673958606541135
100.0,-4.759122298981288,-4.757488725431823,-0.1673958606541135
105.0,-4.757341131533706,-4.757341131533706,-0.16355745513351858
110.0,-4.761279716708716,-4.757341131533706,-0.16355745513351858
115.0,-4.75884680882951,-4.757341131533706,-0.16355745513351858
120.0,-4.759687250463821,-4.757341131533706,-0.16355745513351858
125.0,-4.757901607442844,-4.757341131533706,-0.16355745513351858
130.0,-4.7594279576345,-4.757341131533706,-0.16355745513351858
135.0,-4.758111712340851,-4.757341131533706,-0.16355745513351858
140.0,-4.757857211069469,-4.757341131533706,-0.16355745513351858
145.0,-4.761286904872337,-4.757341131533706,-0.16355745513351858
150.0,-4.756486346012397,-4.756486346012397,-0.14132744762125043
155.0,-4.762591932001136,-4.756486346012397,-0.14132744762125043
160.0,-4.760203306782055,-4.756486346012397,-0.14132744762125043
165.0,-4.757112552591969,-4.756486346012397,-0.14132744762125043
170.0,-4.759125381126311,-4.756486346012397,-0.14132744762125043
175.0,-4.757530303350449,-4.756486346012397,-0.14132744762125043
180.0,-4.758448983744061,-4.756486346012397,-0.14132744762125043
185.0,-4.75690355818291,-4.756486346012397,-0.14132744762125043
190.0,-4.759996427502804,-4.756486346012397,-0.14132744762125043
195.0,-4.7596777757630235,-4.756486346012397,-0.14132744762125043
200.0,-4.759590632138136,-4.756486346012397,-0.14132744762125043
205.0,-4.7584546970557255,-4.756486346012397,-0.14132744762125043
210.0,-4.757912827655683,-4.756486346012397,-0.14132744762125043
215.0,-4.758328166054688,-4.756486346012397,-0.14132744762125043
220.0,-4.75783804743597,-4.756486346012397,-0.14132744762125043
225.0,-4.758877695331189,-4.756486346012397,-0.14132744762125043
230.0,-4.756467317955734,-4.756467317955734,-0.14083259384563968
235.0,-4.756625690098221,-4.756467317955734,-0.14083259384563968
240.0,-4.758027470109114,-4.756467317955734,-0.14083259384563968
