time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,w_hat_1,w_hat_2,w_est_1,w_est_2,residual_feasible_scale,residual_requested_norm,residual_applied_norm,residual_execution_ratio,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,robust_state_violation,robust_input_violation,robust_region_violation,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm
0.0,63.05701313110717,57.707057429366756,114.87003960562771,215.55072296209704,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.014479480068831485,1.6934067625734572e-05,-0.0028958960137662965,3.386813525146914e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.004005780220970393,-1.077526191843723,0.004005780220970393,-1.077526191843723,0.004005780220970393,0.0,0.0,2.728860690499083,1874.5080751840217,22.728860690499083,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.014479480068831485,1.6934067625734572e-05,-0.014479480068831485,1.6934067625734572e-05
0.016666666666666666,62.607632137528945,57.67449922457289,126.48197408116883,215.9852800913353,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.01339203497758401,1.6887557401312758e-05,-0.004995123806529839,6.086962300380083e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.00396650149560592,-1.077526191843723,0.00396650149560592,-1.077526191843723,0.00396650149560592,0.11611934475541118,0.004384850017747321,1.2281720450803313,2174.6458042677714,21.22817204508033,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.027105627323704695,0.00012956976834890832,-0.01339203497758401,1.6887557401312758e-05
0.03333333333333333,62.186971663394885,57.64396652126584,136.5911756096606,216.38088815432818,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.01244834063092215,1.6849964544124463e-05,-0.0064857671714083015,8.239562749128958e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.003927330145261833,-1.077526191843723,0.003927330145261833,-1.077526191843723,0.003927330145261833,0.21721136004032887,0.008380101998019975,-0.08641450850497634,2437.563114984833,19.913585491495024,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.03812171026646416,0.00032541284472153986,-0.01244834063092215,1.6849964544124463e-05
0.05,61.791379100354746,57.61520901015648,145.39488160344786,216.74267282216164,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.011626916643341811,1.6819507402038303e-05,-0.007513997065795004,9.955551679710827e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.0038882657764103866,-1.077526191843723,0.0038882657764103866,-1.077526191843723,0.0038882657764103866,0.30524841997820146,0.012037013045206013,-1.2392809451406315,2668.136402311964,18.76071905485937,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.04773645533636328,0.0005936082536890375,-0.011626916643341811,1.6819507402038303e-05
0.06666666666666667,61.417719984892145,57.58800916788456,153.06234608784754,217.07500830518353,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.010909852265479802,1.679478657398703e-05,-0.008193168105731964,1.1323398658566067e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.003849307997038581,-1.077526191843723,0.003849307997038581,-1.077526191843723,0.003849307997038581,0.38192306482219834,0.015399325654796776,-2.6080224529679974,2870.55081882605,17.748646972288938,0.0,0.0,0.0,20.356669425256936,0.0,0.0,0.0017833471262846845,False,True,0.0,False,False,False,-0.05612946914539663,0.0009247078826362387,-0.010909852265479802,1.679478657398703e-05
0.08333333333333333,61.063296664740655,57.56217761133326,159.7392281850799,217.38163970368453,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.010282139761243592,1.6774697469912336e-05,-0.008610962436834289,1.241365842083532e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.0038104564166422782,-1.077526191843723,0.0038104564166422782,-1.077526191843723,0.0038104564166422782,0.4486918857945218,0.018504491220202986,-9.496361528699644,3048.4085643861454,16.85935824448846,0.0,0.0,0.0,26.355719773188106,0.0,0.0,0.031778598865940526,False,True,0.0,False,False,False,-0.06345570365940523,0.0013104746373892306,-0.010282139761243592,1.6774697469912336e-05
0.1,60.72578132111353,57.5375491793829,165.55120678397074,217.66578295141878,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.009731147481167657,1.675836422052046e-05,-0.008834999445700962,1.3282599580772348e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.003771710646220363,-1.077526191843723,0.003771710646220363,-1.077526191843723,0.003771710646220363,0.5068116717834302,0.021384669467967375,-21.562250742105544,3204.8181041018497,16.077310545909942,0.0,0.0,0.0,37.639561288015486,0.0,0.0,0.08819780644007745,False,True,0.0,False,False,False,-0.06984915521363755,0.0017437164999508648,-0.009731147481167657,1.675836422052046e-05
0.11666666666666667,60.40316048341685,57.51397961405931,170.6069755929278,217.93020697065842,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00924620016945532,1.6745089380876266e-05,-0.008917239590451834,1.3975097540793131e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.003733070298268917,-1.077526191843723,0.003733070298268917,-1.077526191843723,0.003733070298268917,0.5573693598730008,0.024067550008315425,-36.696237615525334,3342.4681103953526,15.389060514442427,0.0,0.0,0.0,52.08529812996776,0.0,0.0,0.1604264906498388,False,True,0.0,False,False,False,-0.07542594559127691,0.0022181454272443835,-0.00924620016945532,1.6745089380876266e-05
0.13333333333333333,60.093688813018254,57.49134273850243,175.0007383397547,218.17730159769565,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.008818242279775124,1.6734315410216194e-05,-0.008897440128316492,1.4526941114677743e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.0036945349867754194,-1.077526191843723,0.0036945349867754194,-1.077526191843723,0.0036945349867754194,0.6013069873412697,0.02657703159018111,-53.39250327954301,3463.6890782677597,14.782955675080391,0.0,0.0,0.0,68.1754589546234,0.0,0.0,0.24087729477311692,False,True,0.0,False,False,False,-0.08028690124751403,0.002728256951727376,-0.008818242279775124,1.6734315410216194e-05
0.15,59.795850414832884,57.469528048972336,178.81429792965622,218.40913404437936,10.063320279486684,4.969662529249837,39.72049959423053,25.569522468788694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.008439566060181924,1.6725594993965975e-05,-0.00880586531468958,1.496667189053539e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.077526191843723,0.003656104327212964,-1.077526191843723,0.003656104327212964,-1.077526191843723,0.003656104327212964,0.6394425832402849,0.02893378671658058,-70.59186159676004,3570.504924534924,14.24887644374457,0.0,0.0,0.0,84.8407380405046,0.0,0.0,0.32420369020252304,False,True,0.0,False,False,False,-0.0845197223170131,0.003269227120239887,-0.008439566060181924,1.6725594993965975e-05
