w_est_1_normalized,w_est_2_normalized,requested_delta_P100,requested_delta_F200,applied_delta_P100,applied_delta_F200
-1.0,-1.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,1.0,0.0,0.0,0.0,0.0
0.0,-1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0
1.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
