episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-4.79296626402682,-4.79296626402682,-1.0
1.0,-4.797173371535854,-4.79296626402682,-1.0
5.0,-4.781111931878916,-4.781111931878916,-0.03959240593238528
10.0,-4.801817377611698,-4.781111931878916,-0.03959240593238528
15.0,-4.798330770620394,-4.781111931878916,-0.03959240593238528
20.0,-4.798692448904899,-4.781111931878916,-0.03959240593238528
25.0,-4.796151574209699,-4.781111931878916,-0.03959240593238528
30.0,-4.793237211287862,-4.781111931878916,-0.03959240593238528
35.0,-4.792102078818952,-4.781111931878916,-0.03959240593238528
40.0,-4.792454063014692,-4.781111931878916,-0.03959240593238528
45.0,-4.794897228781185,-4.781111931878916,-0.03959240593238528
50.0,-4.792769887434777,-4.781111931878916,-0.03959240593238528
55.0,-4.782397416461813,-4.781111931878916,-0.03959240593238528
60.0,-4.788240771069195,-4.781111931878916,-0.03959240593238528
65.0,-4.786432057864629,-4.781111931878916,-0.03959240593238528
70.0,-4.786398770014743,-4.781111931878916,-0.03959240593238528
75.0,-4.7880143731904505,-4.781111931878916,-0.03959240593238528
80.0,-4.791793523512037,-4.781111931878916,-0.03959240593238528
85.0,-4.793132843120254,-4.781111931878916,-0.03959240593238528
90.0,-4.79205392464285,-4.781111931878916,-0.03959240593238528
95.0,-4.791759158573319,-4.781111931878916,-0.03959240593238528
100.0,-4.789284679655814,-4.781111931878916,-0.03959240593238528
105.0,-4.789613806826928,-4.781111931878916,-0.03959240593238528
110.0,-4.792274918545538,-4.781111931878916,-0.03959240593238528
115.0,-4.793395954979784,-4.781111931878916,-0.03959240593238528
120.0,-4.795108502895934,-4.781111931878916,-0.03959240593238528
125.0,-4.794866281697051,-4.781111931878916,-0.03959240593238528
130.0,-4.794373607819615,-4.781111931878916,-0.03959240593238528
135.0,-4.794630718416237,-4.781111931878916,-0.03959240593238528
140.0,-4.7967223540419885,-4.781111931878916,-0.03959240593238528
145.0,-4.7976563192344415,-4.781111931878916,-0.03959240593238528
150.0,-4.794850818403243,-4.781111931878916,-0.03959240593238528
155.0,-4.795284621470892,-4.781111931878916,-0.03959240593238528
160.0,-4.793846589663335,-4.781111931878916,-0.03959240593238528
165.0,-4.795437002964452,-4.781111931878916,-0.03959240593238528
170.0,-4.795950882930354,-4.781111931878916,-0.03959240593238528
175.0,-4.793036404693686,-4.781111931878916,-0.03959240593238528
180.0,-4.7936248203645135,-4.781111931878916,-0.03959240593238528
185.0,-4.792878633007869,-4.781111931878916,-0.03959240593238528
190.0,-4.793560188850574,-4.781111931878916,-0.03959240593238528
195.0,-4.793558737429966,-4.781111931878916,-0.03959240593238528
200.0,-4.792578960599723,-4.781111931878916,-0.03959240593238528
205.0,-4.792914170108516,-4.781111931878916,-0.03959240593238528
210.0,-4.794592916251317,-4.781111931878916,-0.03959240593238528
215.0,-4.7945295018598655,-4.781111931878916,-0.03959240593238528
220.0,-4.794622156194173,-4.781111931878916,-0.03959240593238528
225.0,-4.793986357349864,-4.781111931878916,-0.03959240593238528
230.0,-4.794386543589398,-4.781111931878916,-0.03959240593238528
235.0,-4.795147802016115,-4.781111931878916,-0.03959240593238528
240.0,-4.7954457499936565,-4.781111931878916,-0.03959240593238528
245.0,-4.794820690702779,-4.781111931878916,-0.03959240593238528
250.0,-4.794519035175899,-4.781111931878916,-0.03959240593238528
255.0,-4.79292966587015,-4.781111931878916,-0.03959240593238528
260.0,-4.792301373895557,-4.781111931878916,-0.03959240593238528
265.0,-4.792187710414313,-4.781111931878916,-0.03959240593238528
270.0,-4.790327251451168,-4.781111931878916,-0.03959240593238528
275.0,-4.788827325342928,-4.781111931878916,-0.03959240593238528
280.0,-4.7888087560873585,-4.781111931878916,-0.03959240593238528
285.0,-4.789640068088475,-4.781111931878916,-0.03959240593238528
290.0,-4.789354030266131,-4.781111931878916,-0.03959240593238528
295.0,-4.789053316236548,-4.781111931878916,-0.03959240593238528
300.0,-4.788243136604268,-4.781111931878916,-0.03959240593238528
305.0,-4.784966945191417,-4.781111931878916,-0.03959240593238528
310.0,-4.78258411865021,-4.781111931878916,-0.03959240593238528
315.0,-4.784554763608161,-4.781111931878916,-0.03959240593238528
320.0,-4.785344808508793,-4.781111931878916,-0.03959240593238528
325.0,-4.786635894196958,-4.781111931878916,-0.03959240593238528
330.0,-4.785700929389107,-4.781111931878916,-0.03959240593238528
335.0,-4.783722552837166,-4.781111931878916,-0.03959240593238528
340.0,-4.785050969983112,-4.781111931878916,-0.03959240593238528
345.0,-4.785549777191895,-4.781111931878916,-0.03959240593238528
350.0,-4.788247430993809,-4.781111931878916,-0.03959240593238528
355.0,-4.785112463021134,-4.781111931878916,-0.03959240593238528
360.0,-4.783889484357799,-4.781111931878916,-0.03959240593238528
365.0,-4.785113801835471,-4.781111931878916,-0.03959240593238528
370.0,-4.783234215417135,-4.781111931878916,-0.03959240593238528
375.0,-4.784070684274952,-4.781111931878916,-0.03959240593238528
380.0,-4.783852920610182,-4.781111931878916,-0.03959240593238528
385.0,-4.784010337204214,-4.781111931878916,-0.03959240593238528
390.0,-4.78381306300418,-4.781111931878916,-0.03959240593238528
395.0,-4.78271311198072,-4.781111931878916,-0.03959240593238528
400.0,-4.782292963346819,-4.781111931878916,-0.03959240593238528
405.0,-4.782302234164318,-4.781111931878916,-0.03959240593238528
410.0,-4.781343155362034,-4.781111931878916,-0.03959240593238528
415.0,-4.781298843421012,-4.781111931878916,-0.03959240593238528
420.0,-4.781564294087581,-4.781111931878916,-0.03959240593238528
425.0,-4.781659414784695,-4.781111931878916,-0.03959240593238528
430.0,-4.7814549728593745,-4.781111931878916,-0.03959240593238528
435.0,-4.781357170612121,-4.781111931878916,-0.03959240593238528
440.0,-4.781534569163373,-4.781111931878916,-0.03959240593238528
445.0,-4.780863696750938,-4.780863696750938,-0.019481032381323503
450.0,-4.781689396703608,-4.780863696750938,-0.019481032381323503
455.0,-4.781084819727358,-4.780863696750938,-0.019481032381323503
460.0,-4.781824135559224,-4.780863696750938,-0.019481032381323503
465.0,-4.781325191621151,-4.780863696750938,-0.019481032381323503
470.0,-4.781254095292243,-4.780863696750938,-0.019481032381323503
475.0,-4.781336712478036,-4.780863696750938,-0.019481032381323503
480.0,-4.781222730115921,-4.780863696750938,-0.019481032381323503
485.0,-4.780924834286076,-4.780863696750938,-0.019481032381323503
490.0,-4.781409913838146,-4.780863696750938,-0.019481032381323503
495.0,-4.780678859338873,-4.780678859338873,-0.004505979210874405
500.0,-4.780623241937941,-4.780623241937941,0.0
