residual_range_multiplier,declared_residual_P100_normalized,declared_residual_F200_normalized,declared_residual_P100_physical,declared_residual_F200_physical,minimum_feasible_scale,mean_feasible_scale,maximum_feasible_scale,minimum_absolute_P100_authority_normalized,mean_absolute_P100_authority_normalized,maximum_absolute_P100_authority_normalized,minimum_absolute_F200_authority_normalized,mean_absolute_F200_authority_normalized,maximum_absolute_F200_authority_normalized,minimum_absolute_P100_authority_kPa,mean_absolute_P100_authority_kPa,maximum_absolute_P100_authority_kPa,minimum_absolute_F200_authority_kg_min,mean_absolute_F200_authority_kg_min,maximum_absolute_F200_authority_kg_min,zero_residual_qp_feasible_rate,residual_corner_qp_feasible_rate,states_all_residual_corners_feasible_rate,base_projection_displacement_mean,base_projection_displacement_max,base_projection_displacement_physical_mean,base_projection_displacement_physical_max,qp_infeasible_rate,physical_constraint_violation_rate,robust_operating_region_violation_rate,zero_residual_baseline_economic_cost,rpi_violation_rate,trajectory_base_projection_displacement_mean,trajectory_base_projection_displacement_max,geometry_base_projection_displacement_mean,geometry_base_projection_displacement_max
1.0,0.12,0.1,12.0,10.0,0.04999999999999994,0.05540288822867187,0.06848115953674178,0.005999999999999992,0.006648346587440624,0.008217739144409012,0.004999999999999994,0.005540288822867188,0.006848115953674178,0.5999999999999992,0.6648346587440624,0.8217739144409012,0.4999999999999994,0.5540288822867186,0.6848115953674178,1.0,1.0,1.0,0.0026016319988992035,0.5643201340702845,0.26016319988992037,56.43201340702845,0.0,0.0,0.0,6725.507070597981,0.16333333333333333,0.0009090734384010428,0.07371964297260103,0.17185748804871526,0.5643201340702845
1.5,0.18,0.15000000000000002,18.0,15.000000000000002,0.05,0.05000000000000001,0.05000000000000022,0.009,0.009,0.00900000000000004,0.0075000000000000015,0.007500000000000003,0.0075000000000000335,0.8999999999999999,0.9000000000000002,0.9000000000000039,0.7500000000000001,0.7500000000000002,0.7500000000000033,1.0,1.0,1.0,0.004594647610130479,0.5677434634532106,0.45946476101304784,56.77434634532106,0.0,0.0,0.0,6725.363223782387,0.16333333333333333,0.0028937427718764585,0.0767434066397738,0.1746851314355325,0.5677434634532106
2.0,0.24,0.2,24.0,20.0,0.04999999999999994,0.05000000000000001,0.05000000000000001,0.011999999999999985,0.012000000000000004,0.012000000000000002,0.009999999999999988,0.010000000000000004,0.010000000000000002,1.1999999999999984,1.1999999999999997,1.2000000000000002,0.9999999999999988,1.0,1.0000000000000002,1.0,1.0,1.0,0.007135514120191185,0.5711667928361366,0.7135514120191185,57.11667928361366,0.0,0.0,0.0,6725.177559027593,0.16333333333333333,0.0054294334539517035,0.07983407060975219,0.1777435807441393,0.5711667928361366
3.0,0.36,0.30000000000000004,36.0,30.000000000000004,0.04999999999999994,0.05,0.05000000000000024,0.017999999999999978,0.017999999999999995,0.018000000000000085,0.014999999999999984,0.015000000000000006,0.015000000000000074,1.7999999999999978,1.8000000000000003,1.8000000000000085,1.4999999999999984,1.5,1.5000000000000073,1.0,1.0,1.0,0.012232868034255507,0.5780134516019888,1.2232868034255506,57.80134516019888,0.0,0.0,0.0,6724.804123457732,0.16333333333333333,0.01051591560568257,0.08621924073865998,0.18392811089154942,0.5780134516019888
4.0,0.48,0.4,48.0,40.0,0.0,0.04994499449944995,0.05000000000000001,0.0,0.02397359735973598,0.024000000000000004,0.0,0.01997799779977999,0.020000000000000004,0.0,2.3973597359735965,2.4000000000000004,0.0,1.9977997799779978,2.0000000000000004,0.9988998899889989,0.9988998899889989,0.9988998899889989,0.01729232404844153,0.5848601103678409,1.729232404844153,58.48601103678409,0.0,0.0,0.0,6724.429597568645,0.16333333333333333,0.015612447838287613,0.09282922669268917,0.18527994506383344,0.5848601103678409
