seed,best_diagnostic_episode,best_post_warmup_episode,best_post_warmup_global_step,best_post_warmup_improvement_percent,economic_improvement_percent,J_econ,requested_residual_norm,applied_residual_norm,execution_ratio,requested_policy_state_dependence,applied_policy_state_dependence,physical_constraint_violation_rate,robust_operating_region_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,execution_mask_mean,rpi_violation_rate,rpi_utilization_peak,formal_safety_certification_passed,pressure_positive_economic_improvement_percent,pressure_positive_J_econ,pressure_positive_requested_residual_norm,pressure_positive_applied_residual_norm,pressure_positive_X2_peak_deviation,pressure_positive_X2_peak_deviation_baseline,pressure_positive_X2_peak_deviation_change,pressure_positive_X2_IAE,pressure_positive_X2_IAE_baseline,pressure_positive_X2_IAE_change,pressure_positive_X2_ISE,pressure_positive_X2_ISE_baseline,pressure_positive_X2_ISE_change,pressure_positive_X2_settling_time_empirical,pressure_positive_X2_settling_time_empirical_baseline,pressure_positive_X2_settling_time_common,pressure_positive_X2_settling_time_common_baseline,pressure_positive_P2_peak_deviation,pressure_positive_P2_peak_deviation_baseline,pressure_positive_P2_peak_deviation_change,pressure_positive_P2_IAE,pressure_positive_P2_IAE_baseline,pressure_positive_P2_IAE_change,pressure_positive_P2_ISE,pressure_positive_P2_ISE_baseline,pressure_positive_P2_ISE_change,pressure_positive_P2_settling_time_empirical,pressure_positive_P2_settling_time_empirical_baseline,pressure_positive_P2_settling_time_common,pressure_positive_P2_settling_time_common_baseline,pressure_positive_P100_min,pressure_positive_P100_max,pressure_positive_P100_peak_difference,pressure_positive_P100_TV,pressure_positive_P100_TV_baseline,pressure_positive_P100_TV_change,pressure_positive_F200_min,pressure_positive_F200_max,pressure_positive_F200_peak_difference,pressure_positive_F200_TV,pressure_positive_F200_TV_baseline,pressure_positive_F200_TV_change,pressure_negative_economic_improvement_percent,pressure_negative_J_econ,pressure_negative_requested_residual_norm,pressure_negative_applied_residual_norm,pressure_negative_X2_peak_deviation,pressure_negative_X2_peak_deviation_baseline,pressure_negative_X2_peak_deviation_change,pressure_negative_X2_IAE,pressure_negative_X2_IAE_baseline,pressure_negative_X2_IAE_change,pressure_negative_X2_ISE,pressure_negative_X2_ISE_baseline,pressure_negative_X2_ISE_change,pressure_negative_X2_settling_time_empirical,pressure_negative_X2_settling_time_empirical_baseline,pressure_negative_X2_settling_time_common,pressure_negative_X2_settling_time_common_baseline,pressure_negative_P2_peak_deviation,pressure_negative_P2_peak_deviation_baseline,pressure_negative_P2_peak_deviation_change,pressure_negative_P2_IAE,pressure_negative_P2_IAE_baseline,pressure_negative_P2_IAE_change,pressure_negative_P2_ISE,pressure_negative_P2_ISE_baseline,pressure_negative_P2_ISE_change,pressure_negative_P2_settling_time_empirical,pressure_negative_P2_settling_time_empirical_baseline,pressure_negative_P2_settling_time_common,pressure_negative_P2_settling_time_common_baseline,pressure_negative_P100_min,pressure_negative_P100_max,pressure_negative_P100_peak_difference,pressure_negative_P100_TV,pressure_negative_P100_TV_baseline,pressure_negative_P100_TV_change,pressure_negative_F200_min,pressure_negative_F200_max,pressure_negative_F200_peak_difference,pressure_negative_F200_TV,pressure_negative_F200_TV_baseline,pressure_negative_F200_TV_change,concentration_positive_economic_improvement_percent,concentration_positive_J_econ,concentration_positive_requested_residual_norm,concentration_positive_applied_residual_norm,concentration_positive_X2_peak_deviation,concentration_positive_X2_peak_deviation_baseline,concentration_positive_X2_peak_deviation_change,concentration_positive_X2_IAE,concentration_positive_X2_IAE_baseline,concentration_positive_X2_IAE_change,concentration_positive_X2_ISE,concentration_positive_X2_ISE_baseline,concentration_positive_X2_ISE_change,concentration_positive_X2_settling_time_empirical,concentration_positive_X2_settling_time_empirical_baseline,concentration_positive_X2_settling_time_common,concentration_positive_X2_settling_time_common_baseline,concentration_positive_P2_peak_deviation,concentration_positive_P2_peak_deviation_baseline,concentration_positive_P2_peak_deviation_change,concentration_positive_P2_IAE,concentration_positive_P2_IAE_baseline,concentration_positive_P2_IAE_change,concentration_positive_P2_ISE,concentration_positive_P2_ISE_baseline,concentration_positive_P2_ISE_change,concentration_positive_P2_settling_time_empirical,concentration_positive_P2_settling_time_empirical_baseline,concentration_positive_P2_settling_time_common,concentration_positive_P2_settling_time_common_baseline,concentration_positive_P100_min,concentration_positive_P100_max,concentration_positive_P100_peak_difference,concentration_positive_P100_TV,concentration_positive_P100_TV_baseline,concentration_positive_P100_TV_change,concentration_positive_F200_min,concentration_positive_F200_max,concentration_positive_F200_peak_difference,concentration_positive_F200_TV,concentration_positive_F200_TV_baseline,concentration_positive_F200_TV_change,early_post_warmup_mean_improvement,late_5_mean_improvement,late_10_mean_improvement,post_warmup_positive_fraction,late_5_all_positive
42,455,455,136500,0.1144164558699499,0.11430534210696332,2015132.9522746427,0.3921023214899117,0.019605116074495568,0.05000000000000026,56.790623611569636,2.8395311805784793,0.0,0.0,0.0,0.0,1.0,0.16333333333333333,1.0326661561977282,False,0.12072408997109424,2027195.6916742632,0.3543914405505321,0.01771957202752659,1.0286968997376214,1.0649364944933346,-0.036239594755713256,43.911454865523666,45.677836481799964,-1.7663816162762984,22.389491432906947,23.985640588316954,-1.5961491554100071,133.0,134.0,,134.0,0.05555574117263262,0.05439355391180811,0.0011621872608245098,8.375858337038828,8.2881181951145,0.08774014192432844,0.3539504188743986,0.3453770883721877,0.008573330502210874,,,,,221.26010806234515,300.52831370055276,2.3068128206018628,79.2682056382076,78.97109099376766,0.29711464443994373,216.41246213786889,236.9508679427567,1.4985892474651337,30.10050107090686,24.999612511366962,5.1008885595398965,0.11739349207538567,2052989.9397392466,0.3888322710738574,0.019441613553692852,1.639597805412901,1.686180397515205,-0.04658259210230398,41.27043969733084,42.478158295749196,-1.207718598418353,31.714072424161536,33.74808252868112,-2.034010104519581,63.0,64.0,79.0,64.0,1.0621572208583672,1.0669448856714396,-0.0047876648130724675,102.05540131189741,101.64402600746605,0.4113753044313597,59.61154894262384,59.31673282962085,0.2948161130029945,231.0,231.0,234.0,231.0,205.67126462650265,300.52831370055276,2.780957465782876,112.30556756906381,111.8773273599314,0.42824020913241156,176.02748108360015,199.74444492283237,1.4971874356269836,37.51229858716084,27.619139916243284,9.893158670917558,0.10479844427441005,1965213.2254104174,0.43308325284534543,0.021654162642267254,0.26984861323786546,0.23839178914797543,0.031456824089890034,12.338391884308919,13.041659492940664,-0.7032676086317444,1.520978651589117,1.694310826840376,-0.17333217525125888,110.0,194.0,,194.0,0.3721191919242983,0.3886998583260066,-0.0165806664017083,48.062454697017166,49.94916119700858,-1.886706499991412,12.611444394043156,13.646700260670618,-1.0352558666274625,237.0,237.0,254.0,237.0,170.67738901616795,300.52831370055276,2.0641004449417437,183.84054000970713,190.1843639775926,-6.34382396788547,199.24651047290317,206.43944623297392,1.4973298609256744,20.217147326089986,11.675981200860235,8.54116612522975,0.0844669731655775,0.10916358355968159,0.11057875578390511,1.0,True
2027,495,495,148500,0.11595986659091335,0.11584124686071462,2015099.8434461663,0.39467763020260066,0.019733881510130034,0.05000000000000026,55.14717995635466,2.7573589978177284,0.0,0.0,0.0,0.0,1.0,0.16444444444444445,1.0340859941372527,False,0.1261279794680886,2027082.3818059897,0.39420792415935507,0.01971039620796777,1.0264199614396183,1.06549600277798,-0.03907604133836173,43.84197852465019,45.76409044190551,-1.9221119172553216,22.19667421347573,24.0462892632465,-1.8496150497707688,134.0,135.0,,135.0,0.05472450679445018,0.05509195313755555,-0.00036744634310537094,8.2980066467764,8.382905362127161,-0.08489871535076077,0.3468161415489015,0.3534398917438255,-0.006623750194924005,,,,,221.25947135944244,300.52831370055276,2.301414109761083,79.26884234111031,78.97918130923392,0.2896610318763919,216.8910876181999,236.93686602198892,1.4926002323627472,32.624043370010384,25.02750889117408,7.596534478836304,0.11670720846050325,2053006.232059143,0.3855866854233535,0.01927933427116767,1.6349371624118625,1.6863722542774546,-0.05143509186559214,40.94833819792387,42.505194440438274,-1.5568562425144066,31.425081907846497,33.79465551078812,-2.369573602941621,62.0,64.0,78.0,64.0,1.0638400475722278,1.065225162676228,-0.0013851151040000786,101.95247610747523,101.45087115417432,0.5016049533009124,59.53689094956541,59.098019375926214,0.43887157363919727,231.0,231.0,233.0,231.0,205.6815364606001,300.52831370055276,2.13340813627957,112.31969047625847,111.89271501147218,0.42697546478629533,174.81001555291044,198.3412734303647,1.4919430017471313,37.868979199620725,27.588371790641673,10.280607408979051,0.10468855265355201,1965210.9164733663,0.40423828102509335,0.02021191405125466,0.2596016188320256,0.23727979192949178,0.022321826902533815,12.73235304858327,13.093395657236147,-0.36104260865287685,1.6151432471088558,1.709543002377016,-0.09439975526816013,112.0,194.0,,194.0,0.3740340133290587,0.38749422693158664,-0.013460213602527915,48.23953274227958,49.787544668387255,-1.5480119261076766,12.71368592140266,13.55961020004361,-0.8459242786409487,237.0,237.0,251.0,237.0,169.40739195729572,300.52831370055276,2.22886119370213,189.02168617051572,190.385935346078,-1.3642491755622927,197.89839195861109,203.72488977543247,1.4944451451301575,12.547527668786813,11.642414319681194,0.9051133491056191,0.09276420793231022,0.11373705237193703,0.1137203848677232,1.0,True
314159,500,500,150000,0.10269252550906777,0.10257800331379967,2015365.5950152334,0.3228047541197643,0.016140237705988214,0.05000000000000026,38.98005441539328,1.9490027207696627,0.0,0.0,0.0,0.0,1.0,0.16444444444444445,1.034557472327118,False,0.10151758742762641,2027578.3842620773,0.3414561232340741,0.01707280616170369,1.0337531862330493,1.0660332213775092,-0.03228003514445987,45.80742870175582,45.84692890846163,-0.039500206705810115,23.13664412811644,24.104629191282584,-0.9679850631661431,142.0,135.0,,135.0,0.05784724878606795,0.05576220663427023,0.0020850421517977225,8.692097049133082,8.474545816781827,0.21755123235125495,0.3822760779690587,0.3613534735027972,0.02092260446626154,,,,,221.31508503890564,300.52831370055276,2.1208265755863067,79.21322866164712,78.98695134659488,0.22627731505224347,216.6668388412101,237.17275144878658,1.4932127594947815,33.4598100095528,25.05429652228989,8.405513487262908,0.11119221172763949,2053121.6716787277,0.3447989009034982,0.017239945045174905,1.6207963382390176,1.6865559362526419,-0.0657595980136243,40.071981469836246,42.53115623704516,-2.459174767208914,30.250602101240297,33.83946457866445,-3.5888624774241507,61.0,64.0,76.0,64.0,1.0565240058906156,1.063575102072356,-0.0070510961817404905,101.01924988147603,101.26554121351339,-0.24629133203735876,58.453369126270445,58.88855446442413,-0.435185338153687,231.0,231.0,233.0,231.0,205.66608778357983,300.52831370055276,1.4250887214307397,112.19149136598412,111.90749919424289,0.28399217174123237,175.00616457115086,199.17498388407287,1.4929957687854767,37.053825402933995,27.55882379017683,9.495001612757164,0.09502421078613307,1965396.7291048947,0.28215923822172057,0.014107961911086046,0.26330387740156525,0.23621182880924607,0.027092048592319173,12.569110605183717,13.143508132368552,-0.5743975271848356,1.5826308729058074,1.7243057185634427,-0.14167484565763533,185.0,194.0,,194.0,0.38002890116036525,0.3863374779367703,-0.0063085767764050615,48.88610312275706,49.632463210344426,-0.7463600875873624,13.065415941668132,13.476307139484515,-0.41089119781638317,237.0,237.0,245.0,237.0,169.71515423698048,300.52831370055276,1.7476463474128536,189.79634338086018,190.5796313401647,-0.7832879593045163,198.36446381139302,206.03776202650997,1.4688853919506073,16.741508340559818,11.610180906749378,5.131327433810441,0.08726812972246908,0.09154816559975412,0.09164607571853511,1.0,True
