seed,best_episode,selected_policy_scale,training_final_return,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,sac_incremental_cost_reduction_percent,holdout_sac_incremental_cost_reduction_percent,constraint_violation_rate,holdout_constraint_violation_rate,robust_region_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_operating_region_violation_rate,holdout_robust_operating_region_violation_rate,qp_intervention_rate,safe_action_mapping_rate,requested_residual_state_dependence_norm,applied_residual_state_dependence_norm,requested_residual_disturbance_estimate_dependence_norm,applied_residual_disturbance_estimate_dependence_norm,residual_feasible_scale_mean,residual_feasible_scale_min,residual_execution_ratio_mean,rpi_area,x_minus_z_area,uncovered_final_hull_vertices,formal_safety_certification_passed,sac_positive_increment_learned,training_seconds,initial_rpi_area,optimized_rpi_area,rpi_area_reduction_percent,initial_x_minus_z_area,optimized_x_minus_z_area,x_minus_z_area_increase_percent,initial_invariant_area,optimized_invariant_area,hinf_sampled_norm,hinf_gamma,theta_only_economic_cost_mean,safe_sac_economic_cost_mean,holdout_theta_only_economic_cost_mean,holdout_safe_sac_economic_cost_mean,safe_reference_cost,normalized_safe_performance_gap,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,best_nonzero_policy_episode,best_nonzero_policy_scale,best_nonzero_cost_reduction_percent,best_nonzero_incremental_return,best_nonzero_violation_rate,best_nonzero_intervention_rate,best_nonzero_mapping_rate
42.0,0.0,0.0,-1294.5078891063142,-1437.9015299218865,-4.793005099739623,6725.507070597981,0.0,0.0,0.0,0.0,2.2258758544921875,1.0,1.0,2.2258758544921875,nan,2.44140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05543638248925111,0.04999999999999994,0.0,6.362169396047989,16.94951296176961,0.0,0.0,0.0,1078.4487969875336,0.28856692975068654,6.362169396047989,-2104.746538886046,2814.196282280837,16.94951296176961,-99.39771390259843,2786.1246743650854,16.780441569975956,2209.4455236059284,3000.0,6725.507070597981,6725.507070597981,6733.867481914225,6733.867481914225,6318.316222750188,-1.0,0.16333333333333333,0.0,0.0,495.0,1.0,0.041994018753604055,0.014120481105464044,0.0,0.0,0.0
2027.0,0.0,0.0,-1296.5579318979308,-1437.8898792080456,-4.79296626402682,6725.49674785207,0.0,0.0,0.0,0.0,2.2258758544921875,1.0,1.0,2.2258758544921875,nan,2.44140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05591477568833101,0.04999999999999994,0.0,6.348380478081708,17.075123823446525,0.0,0.0,0.0,1071.0508329868317,0.2885618391658227,6.348380478081708,-2100.0069366183925,2814.1992234820027,17.075123823446525,-99.39325106477999,2786.127586227769,16.904799463307643,2209.4455236059284,3000.0,6725.49674785207,6725.49674785207,6733.857576312231,6733.857576312231,6318.3204588683075,-1.0,0.16333333333333333,0.0,0.0,500.0,1.0,0.03668495103689266,0.012343022088878719,0.0,0.0,0.0
314159.0,0.0,0.0,-1783.3794533810005,-1437.878755948992,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,2.2258758544921875,1.0,1.0,2.2258758544921875,nan,2.44140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056374464369063106,0.04999999999999994,0.0,6.335133178649357,17.19603032398368,0.0,0.0,0.0,1082.9704489707947,0.2885939413565666,6.335133178649357,-2095.1719252560843,2814.180675823637,17.19603032398368,-99.3889507354054,2786.1092235822966,17.024499921501945,2209.4455236059284,3000.0,6725.486783250374,6725.486783250374,6733.84801259447,6733.84801259447,6318.318012899402,-1.0,0.16333333333333333,0.0,0.0,320.0,1.0,0.036754793467386374,0.0123553808801109,0.0,0.0,0.0
