X2,P2,requested_delta_P100,requested_delta_F200,applied_delta_P100,applied_delta_F200,mapping_scale
26.918626654336443,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999994
27.09204336245474,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999994
27.265460070573035,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999994
27.438876778691327,50.8905578313371,0.0,0.0,0.0,0.0,0.05
27.612293486809623,50.8905578313371,0.0,0.0,0.0,0.0,0.05
27.78571019492792,50.8905578313371,0.0,0.0,0.0,0.0,0.05
27.95912690304621,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.132543611164508,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.305960319282804,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.479377027401096,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.652793735519392,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.826210443637688,50.8905578313371,0.0,0.0,0.0,0.0,0.05
28.99962715175598,50.8905578313371,0.0,0.0,0.0,0.0,0.05
29.173043859874277,50.8905578313371,0.0,0.0,0.0,0.0,0.05
29.346460567992573,50.8905578313371,0.0,0.0,0.0,0.0,0.05
29.519877276110865,50.8905578313371,0.0,0.0,0.0,0.0,0.05
29.69329398422916,50.8905578313371,0.0,0.0,0.0,0.0,0.05
29.866710692347457,50.8905578313371,0.0,0.0,0.0,0.0,0.049999999999999975
30.04012740046575,50.8905578313371,0.0,0.0,0.0,0.0,0.05000000000000006
30.213544108584045,50.8905578313371,0.0,0.0,0.0,0.0,0.05000000000000002
30.38696081670234,50.8905578313371,0.0,0.0,0.0,0.0,0.049999999999999975
30.560377524820634,50.8905578313371,0.0,0.0,0.0,0.0,0.05000000000000002
30.73379423293893,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999993
30.907210941057226,50.8905578313371,0.0,0.0,0.0,0.0,0.049999999999999815
31.08062764917552,50.8905578313371,0.0,0.0,0.0,0.0,0.05000000000000006
31.254044357293814,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999985
31.42746106541211,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999985
31.600877773530407,50.8905578313371,0.0,0.0,0.0,0.0,0.05000000000000006
31.7742944816487,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999989
31.947711189766995,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999993
32.12112789788529,50.8905578313371,0.0,0.0,0.0,0.0,0.04999999999999963
26.918626654336443,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
27.09204336245474,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
27.265460070573035,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
27.438876778691327,50.998869831481706,0.0,0.0,0.0,0.0,0.05
27.612293486809623,50.998869831481706,0.0,0.0,0.0,0.0,0.05
27.78571019492792,50.998869831481706,0.0,0.0,0.0,0.0,0.05
27.95912690304621,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.132543611164508,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.305960319282804,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.479377027401096,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.652793735519392,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.826210443637688,50.998869831481706,0.0,0.0,0.0,0.0,0.05
28.99962715175598,50.998869831481706,0.0,0.0,0.0,0.0,0.05
29.173043859874277,50.998869831481706,0.0,0.0,0.0,0.0,0.05
29.346460567992573,50.998869831481706,0.0,0.0,0.0,0.0,0.05
29.519877276110865,50.998869831481706,0.0,0.0,0.0,0.0,0.05
29.69329398422916,50.998869831481706,0.0,0.0,0.0,0.0,0.05
29.866710692347457,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.04012740046575,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.213544108584045,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.38696081670234,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.560377524820634,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.73379423293893,50.998869831481706,0.0,0.0,0.0,0.0,0.05
30.907210941057226,50.998869831481706,0.0,0.0,0.0,0.0,0.05
31.08062764917552,50.998869831481706,0.0,0.0,0.0,0.0,0.05
31.254044357293814,50.998869831481706,0.0,0.0,0.0,0.0,0.05
31.42746106541211,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
31.600877773530407,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
31.7742944816487,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
31.947711189766995,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
32.12112789788529,50.998869831481706,0.0,0.0,0.0,0.0,0.04999999999999994
26.918626654336443,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
27.09204336245474,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
27.265460070573035,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
27.438876778691327,51.10718183162631,0.0,0.0,0.0,0.0,0.05
27.612293486809623,51.10718183162631,0.0,0.0,0.0,0.0,0.05
27.78571019492792,51.10718183162631,0.0,0.0,0.0,0.0,0.05
27.95912690304621,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.132543611164508,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.305960319282804,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.479377027401096,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.652793735519392,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.826210443637688,51.10718183162631,0.0,0.0,0.0,0.0,0.05
28.99962715175598,51.10718183162631,0.0,0.0,0.0,0.0,0.05
29.173043859874277,51.10718183162631,0.0,0.0,0.0,0.0,0.05
29.346460567992573,51.10718183162631,0.0,0.0,0.0,0.0,0.05
29.519877276110865,51.10718183162631,0.0,0.0,0.0,0.0,0.05
29.69329398422916,51.10718183162631,0.0,0.0,0.0,0.0,0.05
29.866710692347457,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.04012740046575,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.213544108584045,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.38696081670234,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.560377524820634,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.73379423293893,51.10718183162631,0.0,0.0,0.0,0.0,0.05
30.907210941057226,51.10718183162631,0.0,0.0,0.0,0.0,0.05
31.08062764917552,51.10718183162631,0.0,0.0,0.0,0.0,0.05
31.254044357293814,51.10718183162631,0.0,0.0,0.0,0.0,0.05
31.42746106541211,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
31.600877773530407,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
31.7742944816487,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
31.947711189766995,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
32.12112789788529,51.10718183162631,0.0,0.0,0.0,0.0,0.04999999999999994
