time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,w_hat_1,w_hat_2,w_est_1,w_est_2,residual_feasible_scale,residual_requested_norm,residual_applied_norm,residual_execution_ratio,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,total_reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,reward_safety_penalty,state_violation_penalty,input_violation_penalty,rpi_violation_event_penalty,rpi_excess_penalty,qp_infeasible_penalty,state_excess_penalty,input_excess_penalty,rpi_penalty_excluded_from_training_reward,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,robust_state_violation,robust_input_violation,robust_region_violation,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm,paper2016_scenario,state_shock_X2,state_shock_P2
0.0,25.0,48.743,300.52831370055276,198.52441635056263,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008866365141231292,6.487929826437533e-07,-0.0001773273028246258,1.2975859652875064e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.2971979553055493,-0.15118252416449288,-32.26140053861603,-32.26140053861603,8872.560321007044,-12.26140053861603,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12540367324409935,-0.10690695699847036,-0.0008866365141231292,6.487929826437533e-07,pressure_negative,0.0,-1.0
0.016666666666666666,25.090048066497086,48.76182006854321,300.52831370055276,198.49640716846434,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008642349486078782,6.540078359151824e-07,-0.0003147088319812762,2.3460844440603697e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.2754230898811438,-0.15146261598547564,-32.23140335776104,-32.23140335776104,8866.560884836046,-12.231403357761042,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12288742091999658,-0.10643706722699373,-0.0008642349486078782,6.540078359151824e-07,pressure_negative,0.0,0.0
0.03333333333333333,25.18005319134637,48.78059224424977,300.52831370055276,198.46763338460278,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008419487696052219,6.593558878054129e-07,-0.0004201568195060653,3.1955793308591217e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.2535555294685632,-0.1517503538240914,-32.201435370071536,-32.201435370071536,8860.567287298145,-12.201435370071536,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12035983661942223,-0.10596822300751205,-0.0008419487696052219,6.593558878054129e-07,pressure_negative,0.0,0.0
0.05,25.270013965426898,48.79931661196141,300.52831370055276,198.43810212564722,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008197780743124106,6.648376577045312e-07,-0.0005000810704673343,3.88613878009636e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.2315965168012943,-0.15204566641364708,-32.17149689990828,-32.17149689990828,8854.579593265493,-12.171496899908275,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11782106988761933,-0.10550042506534613,-0.0008197780743124106,6.648376577045312e-07,pressure_negative,0.0,0.0
0.06666666666666667,25.35992898271599,48.81799325672995,300.52831370055276,198.40782050360272,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007977229540140629,6.704536691382046e-07,-0.00055960944717668,4.449818362353497e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.2095472910374057,-0.15234848263409195,-32.14158827072932,-32.14158827072932,8848.597867429702,-12.141588270729322,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11527126984146778,-0.10503367409616307,-0.0007977229540140629,6.704536691382046e-07,pressure_negative,0.0,0.0
0.08333333333333333,25.449796840366474,48.83662226381653,300.52831370055276,198.37679561557889,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007757834940910757,6.762044474639684e-07,-0.0006028442565595591,4.912263584810734e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.1874090877241712,-0.1526587315143302,-32.111709805071236,-32.111709805071236,8842.622174298085,-12.111709805071236,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11271058516520234,-0.10456797076609162,-0.0007757834940910757,6.762044474639684e-07,pressure_negative,0.0,0.0
0.1,25.539616138783536,48.8552037186908,300.52831370055276,198.34503454355917,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007539597740311432,6.820905196769367e-07,-0.000633067360053876,5.29399190720246e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.1651831387628915,-0.1529763422345277,-32.081861824530236,-32.081861824530236,8836.652578189885,-12.081861824530238,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11013916410615526,-0.10410331571183837,-0.0007539597740311432,6.820905196769367e-07,pressure_negative,0.0,0.0
0.11666666666666667,25.62938548170112,48.87373770703008,300.52831370055276,198.31254435417108,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007322518674387768,6.881124151036921e-07,-0.0006529042615308562,5.611418355969352e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,0.38474931282257535,-0.015074761729880693,1.1428706723739204,-0.15330124412840843,-32.05204464974347,-32.05204464974347,8830.689143232532,-12.05204464974347,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.10755715447052322,-0.10363970954080387,-0.0007322518674387768,6.881124151036921e-07,pressure_negative,0.0,0.0
0.13333333333333333,25.719103476257946,48.8922243147185,300.52831370055276,198.279332098458,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007106598420463794,6.942706635704177e-07,-0.0006644553776339608,5.877676011916317e-07,0.05,0.0,0.0,0.0,0.05,0.0,0.3804506581154585,-0.015074761729880693,0.3804506581154585,-0.015074761729880693,0.3804506581154585,-0.015074761729880693,1.1204729130618933,-0.15363336668553915,-32.02225860037055,-32.02225860037055,8824.731933357947,-12.022258600370547,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1049381979764278,-0.10317372343818487,-0.0007106598420463794,6.942706635704177e-07,pressure_negative,0.0,0.0
0.15,25.80876873307308,48.91066362784609,300.52831370055276,198.24479979025253,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006891837596786354,7.006504801343461e-07,-0.0006694010540428956,6.103441769801745e-07,0.05,0.0,0.0,0.0,0.05,0.0,0.36946739223573416,-0.015074761729880693,0.36946739223573416,-0.015074761729880693,0.36946739223573416,-0.015074761729880693,1.0977641132948708,-0.15397868976759385,-31.992502171492326,-31.992502171492326,8818.780647582304,-11.992502171492328,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.10224133205442942,-0.10270003420752821,-0.0006891837596786354,7.006504801343461e-07,pressure_negative,0.0,0.0
