time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,w_hat_1,w_hat_2,w_est_1,w_est_2,residual_feasible_scale,residual_requested_norm,residual_applied_norm,residual_execution_ratio,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,total_reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,reward_safety_penalty,state_violation_penalty,input_violation_penalty,rpi_violation_event_penalty,rpi_excess_penalty,qp_infeasible_penalty,state_excess_penalty,input_excess_penalty,rpi_penalty_excluded_from_training_reward,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,robust_state_violation,robust_input_violation,robust_region_violation,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm,paper2016_scenario,state_shock_X2,state_shock_P2
0.0,25.0,48.743,300.52831370055276,197.0324733488155,10.0,5.0,40.0,25.0,0.99669296,-0.99462867,0.3588094639778137,-0.29838860034942627,0.01794047319889064,-0.014919430017471296,1.0,-0.0008866362412584539,8.630469779391525e-07,-0.00017732724825169073,1.7260939558783047e-07,0.04999999999999994,0.4666690350328974,0.023333451751644824,0.0499999999999999,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.402689786021466,-0.02999419174735199,0.402689786021466,-0.02999419174735199,1.2971979553055493,-0.15118252416449288,-32.256909100480314,-32.256909100480314,8871.66094447996,-12.25690365598061,0.0,0.0,5.444499706463369e-06,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12551429450411966,-0.10692105534636986,-0.0008866362412584539,8.630469779391525e-07,pressure_negative,0.0,-1.0
0.016666666666666666,25.09004799037045,48.761868584188534,300.52831370055276,197.02939959992963,10.0,5.0,40.0,25.0,-0.99576837,-0.9797168,-0.3584766125679016,-0.2939150333404541,-0.017923830628395032,-0.014695751667022687,1.0,-0.0008642331748296983,8.654085072723472e-07,-0.0003147084335672922,3.111692179247338e-07,0.04999999999999994,0.4635639422794634,0.02317819711397312,0.04999999999999989,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.3668254821941803,-0.02977051339690338,0.3668254821941803,-0.02977051339690338,1.2763698654655082,-0.15143694000380026,-32.22697349291008,-32.22697349291008,8865.672339269213,-12.226960629926875,0.0,0.0,1.2862983210203168e-05,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12288707159653861,-0.10643661668546159,-0.0008642331748296983,8.654085072723472e-07,pressure_negative,0.0,0.0
0.03333333333333333,25.1800528874385,48.780688434098295,300.52831370055276,197.158100191771,10.0,5.0,40.0,25.0,-0.98406297,-0.8730705,-0.35426266908645626,-0.2619211435317993,-0.017713133454322794,-0.013096057176589949,1.0,-0.0008419456477624099,8.47580292340222e-07,-0.0004201558764063157,4.184514328078314e-07,0.04999999999999994,0.4405731768245378,0.022028658841226866,0.04999999999999995,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.36703617936825256,-0.028170818906470642,0.36703617936825256,-0.028170818906470642,1.253551637107943,-0.15174962857581917,-32.19744672280237,-32.19744672280237,8859.76955263748,-12.197446696768207,0.0,0.0,2.603415761882885e-08,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12025026780714426,-0.10595345362540101,-0.0008419456477624099,8.47580292340222e-07,pressure_negative,0.0,0.0
0.05,25.27001329048882,48.799455299661034,300.52831370055276,197.71945755808312,10.0,5.0,40.0,25.0,-0.9530204,-0.47750753,-0.3430873417854309,-0.14325225949287415,-0.01715436708927154,-0.007162612974643698,1.0,-0.0008197739222804701,7.658323943060541e-07,-0.0005000794855811465,4.87927625107476e-07,0.04999999999999994,0.37179313326527,0.01858965666326349,0.04999999999999997,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.3675949457333038,-0.02223737470452439,0.3675949457333038,-0.02223737470452439,1.2306569588998435,-0.15206949911464424,-32.16927128795079,-32.16927128795079,8854.134399838036,-12.169270932770992,0.0,0.0,3.5517979948322176e-07,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1176061720499467,-0.10547190801599396,-0.0008197739222804701,7.658323943060541e-07,pressure_negative,0.0,0.0
0.06666666666666667,25.35992783128292,48.818155140606805,300.52831370055276,198.29213081465957,10.0,5.0,40.0,25.0,-0.9365792,-0.07395064,-0.3371685218811035,-0.02218519225716591,-0.016858426094055134,-0.0011092596128582932,1.0,-0.0007977184258308734,6.863647129262684e-07,-0.0005596072736310919,5.276150426712344e-07,0.04999999999999994,0.3378976100876945,0.01689488050438468,0.04999999999999987,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.3678908867285202,-0.016184021342738986,0.3678908867285202,-0.016184021342738986,1.2077055324498056,-0.1523961199106653,-32.14117009884134,-32.14117009884134,8848.51415959077,-12.14116973153466,0.0,0.0,3.673066799528833e-07,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11495329731982175,-0.10499176729484722,-0.0007977184258308734,6.863647129262684e-07,pressure_negative,0.0,0.0
0.08333333333333333,25.44979516810564,48.83678774539968,300.52831370055276,198.3412734303647,10.0,5.0,40.0,25.0,-0.93440723,-0.018944202,-0.336386604309082,-0.005683260597288608,-0.016819330215454065,-0.00028416302986443084,1.0,-0.0007757791182196883,6.811224612934819e-07,-0.0006028416425488112,5.583165263956839e-07,0.04999999999999994,0.33643461030282185,0.01682173051514106,0.0499999999999999,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.3679299826071213,-0.015358924759745124,0.3679299826071213,-0.015358924759745124,1.1846845796714414,-0.15272979033660783,-32.11153146988345,-32.11153146988345,8842.586505895903,-12.111531463060324,0.0,0.0,6.823128589917372e-09,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11229019960483848,-0.10451275226654907,-0.0007757791182196883,6.811224612934819e-07,pressure_negative,0.0,0.0
0.1,25.5396139364838,48.85537019828338,300.52831370055276,198.2548240877807,10.0,5.0,40.0,25.0,-0.9469496,-0.05385268,-0.3409018564224243,-0.016155804321169854,-0.01704509282112121,-0.0008077902160584932,1.0,-0.0007539556115178647,6.946163486065693e-07,-0.0006330644363426219,5.85576490837861e-07,0.04999999999999994,0.3412844645241256,0.017064223226206276,0.04999999999999999,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.36770422000145414,-0.015882551945939186,0.36770422000145414,-0.015882551945939186,1.161581530136083,-0.1530706565762538,-32.081518347596116,-32.081518347596116,8836.583882152752,-12.081518344344572,0.0,0.0,3.2515418423913043e-09,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1096153914268551,-0.10403463344682112,-0.0007539556115178647,6.946163486065693e-07,pressure_negative,0.0,0.0
0.11666666666666667,25.62938274143512,48.8739069573477,300.52831370055276,198.20489625189623,10.0,5.0,40.0,25.0,-0.9607443,-0.063916035,-0.34586795568466183,-0.019174810498952866,-0.017293397784233056,-0.0009587405249476405,1.0,-0.0007322478775787233,7.031408610080891e-07,-0.0006529011245898421,6.090893648719066e-07,0.04999999999999994,0.34639907062109443,0.017319953531054685,0.0499999999999999,0.04999999999999994,0.0,0.38474931282257535,-0.015074761729880693,0.3674559150383423,-0.016033502254828334,0.3674559150383423,-0.016033502254828334,1.1383835642249123,-0.15341898462620923,-32.051647541695615,-32.051647541695615,8830.609721454079,-12.051647540851205,0.0,0.0,8.44413504597037e-10,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1069288856509078,-0.10355739893462271,-0.0007322478775787233,7.031408610080891e-07,pressure_negative,0.0,0.0
0.13333333333333333,25.719100186316627,48.89239690038292,300.52831370055276,198.13417456474903,10.0,5.0,40.0,25.0,-0.9707804,-0.087346494,-0.3494809341430664,-0.026203948259353637,-0.0174740467071533,-0.0013101974129676834,1.0,-0.0007106560142471907,7.14662119066789e-07,-0.0006644521025213118,6.302039157108831e-07,0.05,0.3504619383526394,0.017523096917631948,0.04999999999999994,0.05,0.0,0.3825041464405138,-0.015074761729880693,0.3650300997333605,-0.016384959142848377,0.3650300997333605,-0.016384959142848377,1.1150907619446728,-0.15377474460966128,-32.021747124208076,-32.021747124208076,8824.629637813141,-12.021747122646516,0.0,0.0,1.5615597748897785e-09,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1042174076512798,-0.10307930967843718,-0.0007106560142471907,7.14662119066789e-07,pressure_negative,0.0,0.0
0.15,25.80876487882184,48.91084076521928,300.52831370055276,198.0289173478054,10.0,5.0,40.0,25.0,-0.9772031,-0.13310602,-0.3517931056022644,-0.03993180692195892,-0.017589655280113248,-0.001996590346097945,1.0,-0.0006891800683278826,7.312168011641695e-07,-0.0006693976956826259,6.504064928015405e-07,0.05,0.3540521689713799,0.017702608448569024,0.05000000000000008,0.05,0.0,0.3718234537642485,-0.015074761729880693,0.3542337984841353,-0.017071352075978638,0.3542337984841353,-0.017071352075978638,1.0915894045704915,-0.15414092384596745,-31.991775690965657,-31.991775690965657,8818.635350507968,-11.99177568612065,0.0,0.0,4.8450060079299894e-09,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.10142955097888211,-0.10259368857791104,-0.0006891800683278826,7.312168011641695e-07,pressure_negative,0.0,0.0
