time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,w_hat_1,w_hat_2,w_est_1,w_est_2,residual_feasible_scale,residual_requested_norm,residual_applied_norm,residual_execution_ratio,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,robust_state_violation,robust_input_violation,robust_region_violation,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm,paper2016_scenario,state_shock_X2,state_shock_P2
0.0,25.0,50.743,315.4224223999497,223.7516789454455,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0009452885761321861,8.350125601797043e-07,-0.00018905771522643717,1.670025120359408e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.8150058692837489,-0.009064258953621802,0.8150058692837489,-0.009064258953621802,0.8150058692837489,-0.009064258953621802,0.11299176681574806,0.09507959900807673,-34.20683532587806,9068.451899334837,-13.240858430254997,0.0,0.0,0.0,20.965976895623065,0.0,0.0,0.004829884478115329,False,True,0.0,False,False,False,-0.02496055857174717,0.050036746611838295,-0.0009452885761321861,8.350125601797043e-07,pressure_positive,0.0,1.0
0.016666666666666666,25.095699291460324,50.76159071727818,313.5229713018838,223.77291355857156,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0009047107729142634,8.303625819161553e-07,-0.0003321883267640024,2.996745260119837e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.7928217039549121,-0.00903827738238991,0.7928217039549121,-0.00903827738238991,0.7928217039549121,-0.00903827738238991,0.11618142116392537,0.09526596356810567,-34.403010641524276,9017.087534160091,-12.984036604381266,0.0,0.0,0.0,21.418974037143006,0.0,0.0,0.0070948701857150255,False,True,0.0,False,False,False,-0.025304421908805108,0.050076077094903665,-0.0009047107729142634,8.303625819161553e-07,pressure_positive,0.0,0.0
0.03333333333333333,25.189852803161333,50.77982706319314,311.62754926630777,223.79269641203592,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008654395575692087,8.257334510319847e-07,-0.00043883857292504366,4.0488631101598386e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.7711752274559219,-0.009012857176342832,0.7711752274559219,-0.009012857176342832,0.7711752274559219,-0.009012857176342832,0.11887367730715594,0.09543837189670207,-34.591752631182345,8965.924098220235,-12.728219424681988,0.0,0.0,0.0,21.863533206500357,0.0,0.0,0.00931766603250179,False,True,0.0,False,False,False,-0.025591416663618416,0.050117578289056997,-0.0008654395575692087,8.257334510319847e-07,pressure_positive,0.0,0.0
0.05,25.282451281467903,50.7977105913827,309.73861296665893,223.81109470330878,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008274693116121778,8.211331526952748e-07,-0.0005165647206624704,4.88135679351842e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.7500534280389826,-0.008987984774555815,0.7500534280389826,-0.008987984774555815,0.7500534280389826,-0.008987984774555815,0.12110611372760698,0.0955974824076438,-34.74532418089513,8915.020307207591,-12.473700469618766,0.0,0.0,0.0,22.271623711276366,0.0,0.0,0.01135811855638183,False,True,0.0,False,False,False,-0.0258258858273247,0.05016086850767418,-0.0008274693116121778,8.211331526952748e-07,pressure_positive,0.0,0.0
0.06666666666666667,25.373487855522693,50.81524324740195,307.85844057194186,223.82817344136197,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007907906256436614,8.165688654693248e-07,-0.0005714099016587086,5.538223165753386e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.7294436088256806,-0.008963646944254663,0.7294436088256806,-0.008963646944254663,0.7294436088256806,-0.008963646944254663,0.12291420899373773,0.09574393195787459,-34.8449034735147,8864.430482963535,-12.220751348398485,0.0,0.0,0.0,22.624152125116215,0.0,0.0,0.013120760625581079,False,True,0.0,False,False,False,-0.02601192738688493,0.050205595768915895,-0.0007907906256436614,8.165688654693248e-07,pressure_positive,0.0,0.0
0.08333333333333333,25.462957919366655,50.832427339097116,305.9891394558115,223.84399544374517,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007553906959475443,8.120470103289978e-07,-0.0006082060605164756,6.054672553260705e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.7093333801875077,-0.008939830772874871,0.7093333801875077,-0.008939830772874871,0.7093333801875077,-0.008939830772874871,0.12433142647060727,0.0958783358103267,-34.87887199523174,8814.204745167244,-11.969622659417032,0.0,0.0,0.0,22.90924933581471,0.0,0.0,0.014546246679073546,False,True,0.0,False,False,False,-0.026153404345648223,0.050251436098935925,-0.0007553906959475443,8.120470103289978e-07,pressure_positive,0.0,0.0
0.1,25.55085901575491,50.849265508279146,304.13265377609446,223.85862134116374,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007212536977698747,8.075732994272666e-07,-0.0006308155879671554,6.458884641463097e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.6897106523107681,-0.008916523660312916,0.6897106523107681,-0.008916523660312916,0.6897106523107681,-0.008916523660312916,0.12538929755017636,0.09600128767195046,-34.8413536637269,8764.389199739642,-11.720544932279022,0.0,0.0,0.0,23.120808731447877,0.0,0.0,0.015604043657239391,False,True,0.0,False,False,False,-0.026253954561214626,0.050298091905725206,-0.0007212536977698747,8.075732994272666e-07,pressure_positive,0.0,0.0
0.11666666666666667,25.637190721887386,50.865760703674255,302.29077191388257,223.87210958893115,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000688361135641441,8.031527808649574e-07,-0.0006423246975020124,6.773413274900392e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.6705636279414071,-0.008893713311365079,0.6705636279414071,-0.008893713311365079,0.6705636279414071,-0.008893713311365079,0.12611750329741836,0.09611335980067673,-34.730974924121725,8715.026123695581,-11.473729552058717,0.0,0.0,0.0,23.257245372063004,0.0,0.0,0.01628622686031503,False,True,0.0,False,False,False,-0.02631700038837978,0.05034529042219907,-0.000688361135641441,8.031527808649574e-07,pressure_positive,0.0,0.0
0.13333333333333333,25.721954537257446,50.881916155126866,300.46513376219906,223.88451648468467,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006566921712196361,7.987898842098939e-07,-0.0006451981922455371,7.016310388340102e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.6518807953054039,-0.008871387728349207,0.6518807953054039,-0.008871387728349207,0.6518807953054039,-0.008871387728349207,0.1265439544165866,0.09621510317519599,-34.549818636573,8666.154146198991,-11.229369664575765,0.0,0.0,0.0,23.320448971997234,0.0,0.0,0.016602244859986164,False,True,0.0,False,False,False,-0.026345758116045365,0.050392782217065224,-0.0006566921712196361,7.987898842098939e-07,pressure_positive,0.0,0.0
0.15,25.80515377380473,50.89773534902893,298.6572378551411,223.895896191774,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006262239291973948,7.944884636568172e-07,-0.0006414033396359086,7.202025237985715e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.6336509212004853,-0.008849535203905056,0.6336509212004853,-0.008849535203905056,0.6336509212004853,-0.008849535203905056,0.1266948694509256,0.09630704772164524,-34.30254732914476,8617.808425598301,-10.987641061572317,0.0,0.0,0.0,23.31490626757244,0.0,0.0,0.016574531337862193,False,True,0.0,False,False,False,-0.026343247188094054,0.05044033977193388,-0.0006262239291973948,7.944884636568172e-07,pressure_positive,0.0,0.0
