episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-4.793005099739623,-4.793005099739623,-1.0
1.0,-4.797141232115622,-4.793005099739623,-1.0
5.0,-4.780355762635402,-4.780355762635402,-0.10418511878282263
10.0,-4.801066026369882,-4.780355762635402,-0.10418511878282263
15.0,-4.802196144603833,-4.780355762635402,-0.10418511878282263
20.0,-4.805409484505489,-4.780355762635402,-0.10418511878282263
25.0,-4.801684962795126,-4.780355762635402,-0.10418511878282263
30.0,-4.801040940991402,-4.780355762635402,-0.10418511878282263
35.0,-4.79833152326896,-4.780355762635402,-0.10418511878282263
40.0,-4.7948172268833575,-4.780355762635402,-0.10418511878282263
45.0,-4.7926269338167025,-4.780355762635402,-0.10418511878282263
50.0,-4.789966125042729,-4.780355762635402,-0.10418511878282263
55.0,-4.790739238525922,-4.780355762635402,-0.10418511878282263
60.0,-4.790891825892549,-4.780355762635402,-0.10418511878282263
65.0,-4.788972917882827,-4.780355762635402,-0.10418511878282263
70.0,-4.789688393375947,-4.780355762635402,-0.10418511878282263
75.0,-4.794478496334986,-4.780355762635402,-0.10418511878282263
80.0,-4.799155587350504,-4.780355762635402,-0.10418511878282263
85.0,-4.795317450844568,-4.780355762635402,-0.10418511878282263
90.0,-4.796732455365528,-4.780355762635402,-0.10418511878282263
95.0,-4.798440391695485,-4.780355762635402,-0.10418511878282263
100.0,-4.795839166026087,-4.780355762635402,-0.10418511878282263
105.0,-4.798618628237895,-4.780355762635402,-0.10418511878282263
110.0,-4.796123043624172,-4.780355762635402,-0.10418511878282263
115.0,-4.797599731246421,-4.780355762635402,-0.10418511878282263
120.0,-4.797383280043879,-4.780355762635402,-0.10418511878282263
125.0,-4.796474566082181,-4.780355762635402,-0.10418511878282263
130.0,-4.792541562146852,-4.780355762635402,-0.10418511878282263
135.0,-4.791728657246588,-4.780355762635402,-0.10418511878282263
140.0,-4.791535522345742,-4.780355762635402,-0.10418511878282263
145.0,-4.791421048326817,-4.780355762635402,-0.10418511878282263
150.0,-4.793887309548343,-4.780355762635402,-0.10418511878282263
155.0,-4.792832138519661,-4.780355762635402,-0.10418511878282263
160.0,-4.791614880542575,-4.780355762635402,-0.10418511878282263
165.0,-4.79179405737622,-4.780355762635402,-0.10418511878282263
170.0,-4.793306805205577,-4.780355762635402,-0.10418511878282263
175.0,-4.792777876724084,-4.780355762635402,-0.10418511878282263
180.0,-4.794850875538337,-4.780355762635402,-0.10418511878282263
185.0,-4.793566443805725,-4.780355762635402,-0.10418511878282263
190.0,-4.792001344307193,-4.780355762635402,-0.10418511878282263
195.0,-4.791729586735694,-4.780355762635402,-0.10418511878282263
200.0,-4.791382009399023,-4.780355762635402,-0.10418511878282263
205.0,-4.789083341773545,-4.780355762635402,-0.10418511878282263
210.0,-4.789510658534328,-4.780355762635402,-0.10418511878282263
215.0,-4.787597324386216,-4.780355762635402,-0.10418511878282263
220.0,-4.785858492264666,-4.780355762635402,-0.10418511878282263
225.0,-4.785067642567188,-4.780355762635402,-0.10418511878282263
230.0,-4.78392828070561,-4.780355762635402,-0.10418511878282263
235.0,-4.784690225850448,-4.780355762635402,-0.10418511878282263
240.0,-4.785317057709541,-4.780355762635402,-0.10418511878282263
245.0,-4.785579949500925,-4.780355762635402,-0.10418511878282263
250.0,-4.785254820682188,-4.780355762635402,-0.10418511878282263
255.0,-4.7845000535633835,-4.780355762635402,-0.10418511878282263
260.0,-4.784602634514218,-4.780355762635402,-0.10418511878282263
265.0,-4.784140197120165,-4.780355762635402,-0.10418511878282263
270.0,-4.7822212632865515,-4.780355762635402,-0.10418511878282263
275.0,-4.782685057522722,-4.780355762635402,-0.10418511878282263
280.0,-4.782481595845539,-4.780355762635402,-0.10418511878282263
285.0,-4.782625255831575,-4.780355762635402,-0.10418511878282263
290.0,-4.783216080134161,-4.780355762635402,-0.10418511878282263
295.0,-4.785297283708004,-4.780355762635402,-0.10418511878282263
300.0,-4.784444826223649,-4.780355762635402,-0.10418511878282263
305.0,-4.783543324706335,-4.780355762635402,-0.10418511878282263
310.0,-4.784189017189338,-4.780355762635402,-0.10418511878282263
315.0,-4.780679063664203,-4.780355762635402,-0.10418511878282263
320.0,-4.78032152345074,-4.78032152345074,-0.10176032996677636
325.0,-4.780824236182933,-4.78032152345074,-0.10176032996677636
330.0,-4.780383274255493,-4.78032152345074,-0.10176032996677636
335.0,-4.780387610333268,-4.78032152345074,-0.10176032996677636
340.0,-4.780042702395809,-4.780042702395809,-0.08201446912472013
345.0,-4.780218409266122,-4.780042702395809,-0.08201446912472013
350.0,-4.780983564374883,-4.780042702395809,-0.08201446912472013
355.0,-4.7814606964191375,-4.780042702395809,-0.08201446912472013
360.0,-4.781583265199682,-4.780042702395809,-0.08201446912472013
365.0,-4.782066511983488,-4.780042702395809,-0.08201446912472013
370.0,-4.782602937823487,-4.780042702395809,-0.08201446912472013
375.0,-4.783205960062134,-4.780042702395809,-0.08201446912472013
380.0,-4.7832075683597575,-4.780042702395809,-0.08201446912472013
385.0,-4.7812536905997165,-4.780042702395809,-0.08201446912472013
390.0,-4.782325259746291,-4.780042702395809,-0.08201446912472013
