episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_paper2016_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
65,-2395.555206510775,-1.1977776032553875,6468.335712912111,-0.2402774981413524,0.0,0.0,0.0,0.04194678166559216,0.0,0.11214548937475646,0.00454147778161831,0.04194678166559215,1.0511403605184379e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-1.8596056699752808,0.018544486723840237,-3.4286372661590576,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
66,-3221.2480637694825,-1.6106240318847413,6428.775785282209,-0.04247785999194618,0.0,0.0,0.0,0.0419837708574248,0.0,0.12090560706659122,0.005101162906347115,0.0419837708574248,1.083650747372911e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.3919191360473633,0.0032486183336004615,-2.6963534355163574,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
67,-2368.7221587558156,-1.1843610793779078,6471.652419911978,-0.2568610331407054,0.0,0.0,0.0,0.041980403089348785,0.0,0.13186518256124583,0.005427783567909957,0.041980403089348785,4.6237203587459946e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.0452518463134766,0.0029418421909213066,-2.987548351287842,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
68,-2395.2490252382377,-1.1976245126191187,6468.305093256839,-0.24012439986499404,0.0,0.0,0.0,0.04196010016586524,0.0,0.11569573993781608,0.004771687393865225,0.04196010016586525,1.1275412631837058e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.1034464836120605,0.0020124175935052335,-3.7856431007385254,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
69,-3221.2875069216634,-1.6106437534608318,6428.779723284195,-0.04249755000180326,0.0,0.0,0.0,0.04199572497215142,0.0,0.12278340483422462,0.005201642944828449,0.04199572497215143,1.3993130230924905e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.1052913665771484,0.0009214587917085737,-3.8926515579223633,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
70,-2368.333027994705,-1.1841665139973525,6471.613509786412,-0.2566664825128897,0.0,0.0,0.0,0.04195481817069892,0.0,0.13431254521650987,0.005562591654626119,0.04195481817069892,3.1484464062569095e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.6694977283477783,0.020210586488246918,-3.176426410675049,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
71,-2394.8150864168992,-1.1974075432084497,6468.261701056949,-0.23990743886555216,0.0,0.0,0.0,0.04193146433760116,0.0,0.12007611796427341,0.00491700923244974,0.04193146433760115,1.0434289712308164e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.5654983520507812,0.0022394428960978985,-3.4330828189849854,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
72,-3220.926645662749,-1.6104633228313745,6428.74364219812,-0.042317144571427566,0.0,0.0,0.0,0.041967930243239276,0.0,0.12398083244313882,0.005230026544198891,0.04196793024323928,1.1473221529723173e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.6283445358276367,0.0029185133171267807,-2.5036511421203613,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
73,-2367.9920388680302,-1.1839960194340151,6471.579410525284,-0.2564959862072261,0.0,0.0,0.0,0.04194083455666393,0.0,0.13437509594981434,0.005521033939180261,0.04194083455666393,3.322678936656638e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.5619056224823,0.0015524235786870122,-2.2416350841522217,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
74,-2394.344744854218,-1.1971723724271088,6468.214669519096,-0.23967228117623376,0.0,0.0,0.0,0.041927004624454034,0.0,0.12149480717890215,0.0049865819787878116,0.041927004624454034,9.12508750527958e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.8735148906707764,0.025683943182229996,-2.702528715133667,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
75,-3221.1875259597887,-1.6105937629798943,6428.769730067601,-0.04244758391878226,0.0,0.0,0.0,0.042011648570974294,0.0,0.12389345024210573,0.005261523977829693,0.04201164857097431,1.1553338100608413e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.0971574783325195,0.004898292128928006,-2.9867358207702637,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
76,-2367.970441157374,-1.183985220578687,6471.577250001586,-0.2564851835887358,0.0,0.0,0.0,0.04194455763600756,0.0,0.13598335782341728,0.0055871092579592024,0.04194455763600756,3.698995334571805e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.508291721343994,0.002030881238169968,-3.027689218521118,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
77,-2393.9409014142475,-1.1969704507071237,6468.174288929035,-0.23947037822592726,0.0,0.0,0.0,0.041940905155512055,0.0,0.12478375175392452,0.005158514803411373,0.041940905155512076,7.248120022958865e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.9715280532836914,0.003134119207970798,-4.894639015197754,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
78,-3220.96891162774,-1.61048445581387,6428.747867044782,-0.042338268804722606,0.0,0.0,0.0,0.04199655604730114,0.0,0.12443815271786055,0.005280292290636954,0.041996556047301146,1.2348142459302542e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.627741575241089,0.0009670954314060509,-2.0053858757019043,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
79,-2367.869546680443,-1.1839347733402215,6471.567161457068,-0.2564347408661702,0.0,0.0,0.0,0.04194474712624348,0.0,0.1359052464339275,0.005596023606349086,0.04194474712624347,3.2474054927238716e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.5923781394958496,0.01188727980479598,-3.0966475009918213,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
80,-2394.1884687492675,-1.1970942343746338,6468.199039140707,-0.23959412928428123,0.0,0.0,0.0,0.041964094290081404,0.0,0.12241371931737866,0.005150483172177282,0.04196409429008141,1.0509035479104441e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.24251389503479,0.0009922742028720677,-2.703664779663086,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
81,-3220.9314853527217,-1.610465742676361,6428.744123591235,-0.04231955153700854,0.0,0.0,0.0,0.04199642023918694,0.0,0.1257689197880827,0.005323658582967833,0.04199642023918694,1.276116238563804e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.9893083572387695,0.001916974550113082,-3.6909143924713135,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
82,-2367.8022871401613,-1.1839011435700806,6471.560435848115,-0.25640111282133016,0.0,0.0,0.0,0.04191943848182643,0.0,0.1379868811363782,0.005703673303502474,0.04191943848182645,3.074875504469781e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.4025793075561523,0.0015237613988574594,-2.706653594970703,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
83,-2393.8709247578036,-1.1969354623789017,6468.167287135867,-0.23943536926008824,0.0,0.0,0.0,0.04194321809187772,0.0,0.1256678783741167,0.00521692016605687,0.0419432180918777,9.311881409469471e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.4302713871002197,0.0017986808670684695,-2.786562204360962,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
84,-3220.9663449653603,-1.6104831724826802,6428.747609299494,-0.042336980078251235,0.0,0.0,0.0,0.041995786967328974,0.0,0.12459509830973652,0.005233376979152669,0.041995786967328974,1.2887670176539853e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.578455924987793,0.0009906264895107597,-3.0653269290924072,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
85,-2367.6412298603673,-1.1838206149301835,6471.544327894294,-0.2563205730522715,0.0,0.0,0.0,0.04191013454528862,0.0,0.1375338273162855,0.005673156783933176,0.04191013454528862,4.1877914690001104e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.4881017208099365,0.0006545498035848141,-1.559272050857544,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
86,-2393.9132943436925,-1.1969566471718462,6468.171523219328,-0.23945654967743785,0.0,0.0,0.0,0.04195288554832458,0.0,0.12628248250243468,0.0051589062677064035,0.04195288554832458,9.749440751919269e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-3.2839629650115967,0.0008950919291237369,-2.817783832550049,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
87,-3221.1211435182145,-1.6105605717591072,6428.763079970728,-0.0424143334344543,0.0,0.0,0.0,0.04201423389640422,0.0,0.12709241923447906,0.005362612318638159,0.04201423389640423,1.747969315075947e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.187098264694214,0.0010317698761355132,-2.1793720722198486,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
88,-2367.8776758947306,-1.1839388379473652,6471.567966768738,-0.2564387674245346,0.0,0.0,0.0,0.04192198720726795,0.0,0.13649839443757042,0.005625145516581158,0.04192198720726794,7.052282975848736e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.464545249938965,0.0010828245722223073,-2.5309040546417236,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
89,-2393.8116571828036,-1.1969058285914018,6468.16136136055,-0.2394057403834816,0.0,0.0,0.0,0.04195531843275359,0.0,0.12625844528171834,0.00518977560846617,0.041955318432753574,8.82079212239782e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.362664222717285,0.002187577949371189,-2.7541894912719727,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
90,-3221.2842121342514,-1.6106421060671257,6428.779390837693,-0.042495887769294714,0.0,0.0,0.0,0.042034421870034124,0.0,0.12714720486472478,0.005368944073892973,0.04203442187003414,1.5477010197720706e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.4195680618286133,0.0005814122559968382,-1.867997407913208,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
91,-2367.815956458977,-1.1839079782294883,6471.561799313522,-0.25640793014848134,0.0,0.0,0.0,0.04192279173554887,0.0,0.13854559480644466,0.005744208684886403,0.04192279173554888,4.808100932077657e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.6048593521118164,0.001949797268025577,-2.962414264678955,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
92,-2393.761048095585,-1.1968805240477924,6468.156299255563,-0.23938042985858063,0.0,0.0,0.0,0.04194056717640627,0.0,0.12632067911420267,0.005208138292371192,0.04194056717640627,9.418921446107183e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.8574023246765137,0.00330243690405041,-2.4929349422454834,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
93,-3221.3733490595696,-1.6106866745297848,6428.788305824134,-0.042540462701446694,0.0,0.0,0.0,0.04202877690255424,0.0,0.12584702036032155,0.005320012923392776,0.04202877690255423,1.483006082092354e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.004999999888241291,-2.4285519123077393,0.002541588502936065,-2.32796049118042,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
94,-2367.560179608335,-1.1837800898041675,6471.536223698552,-0.2562800520735662,0.0,0.0,0.0,0.04190442510532024,0.0,0.13845666856453243,0.0057309367163941366,0.041904425105320234,3.773060422908543e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.004999999888241291,-2.5076558589935303,0.0008978305850178003,-3.5019431114196777,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
95,-2393.8493661555335,-1.1969246830777667,6468.165129060857,-0.23942457888509588,0.0,0.0,0.0,0.04195472667668571,0.0,0.12636671780586822,0.005212896075212323,0.04195472667668573,1.0419267393739526e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.004999999888241291,-2.4406495094299316,0.0028852784307673573,-2.2949962615966797,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,20000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
