episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.25,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.25,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.75,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.25,-8.02757375156335,6687.73004647307,0.0,0.0,0.0,0.0,0.08444444444444443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
