X2,P2,requested_delta_P100,requested_delta_F200,applied_delta_P100,applied_delta_F200,mapping_scale
28.330917163204127,50.33686028894187,0.0,0.0,0.0,0.0,1.0
30.517429462471625,50.33686028894187,0.0,0.0,0.0,0.0,1.0
32.703941761739124,50.33686028894187,0.0,0.0,0.0,0.0,1.0
34.89045406100662,50.33686028894187,0.0,0.0,0.0,0.0,1.0
37.07696636027412,50.33686028894187,0.0,0.0,0.0,0.0,1.0
39.26347865954162,50.33686028894187,0.0,0.0,0.0,0.0,1.0
41.449990958809124,50.33686028894187,0.0,0.0,0.0,0.0,1.0
43.636503258076615,50.33686028894187,0.0,0.0,0.0,0.0,1.0
45.82301555734412,50.33686028894187,0.0,0.0,0.0,0.0,1.0
48.00952785661162,50.33686028894187,0.0,0.0,0.0,0.0,1.0
50.19604015587912,50.33686028894187,0.0,0.0,0.0,0.0,1.0
52.382552455146616,50.33686028894187,0.0,0.0,0.0,0.0,1.0
54.569064754414114,50.33686028894187,0.0,0.0,0.0,0.0,1.0
56.75557705368161,50.33686028894187,0.0,0.0,0.0,0.0,1.0
58.94208935294911,50.33686028894187,0.0,0.0,0.0,0.0,1.0
61.12860165221661,50.33686028894187,0.0,0.0,0.0,0.0,1.0
63.315113951484115,50.33686028894187,0.0,0.0,0.0,0.0,1.0
65.50162625075161,50.33686028894187,0.0,0.0,0.0,0.0,1.0
67.68813855001912,50.33686028894187,0.0,0.0,0.0,0.0,1.0
69.87465084928661,50.33686028894187,0.0,0.0,0.0,0.0,1.0
72.0611631485541,50.33686028894187,0.0,0.0,0.0,0.0,1.0
74.2476754478216,50.33686028894187,0.0,0.0,0.0,0.0,1.0
76.43418774708911,50.33686028894187,0.0,0.0,0.0,0.0,1.0
78.6207000463566,50.33686028894187,0.0,0.0,0.0,0.0,1.0
80.80721234562411,50.33686028894187,0.0,0.0,0.0,0.0,1.0
82.9937246448916,50.33686028894187,0.0,0.0,0.0,0.0,1.0
85.1802369441591,50.33686028894187,0.0,0.0,0.0,0.0,1.0
87.3667492434266,50.33686028894187,0.0,0.0,0.0,0.0,1.0
89.55326154269409,50.33686028894187,0.0,0.0,0.0,0.0,1.0
91.7397738419616,50.33686028894187,0.0,0.0,0.0,0.0,1.0
93.92628614122908,50.33686028894187,0.0,0.0,0.0,0.0,1.0
28.330917163204127,50.95700050026422,0.0,0.0,0.0,0.0,1.0
30.517429462471625,50.95700050026422,0.0,0.0,0.0,0.0,1.0
32.703941761739124,50.95700050026422,0.0,0.0,0.0,0.0,1.0
34.89045406100662,50.95700050026422,0.0,0.0,0.0,0.0,1.0
37.07696636027412,50.95700050026422,0.0,0.0,0.0,0.0,1.0
39.26347865954162,50.95700050026422,0.0,0.0,0.0,0.0,1.0
41.449990958809124,50.95700050026422,0.0,0.0,0.0,0.0,1.0
43.636503258076615,50.95700050026422,0.0,0.0,0.0,0.0,1.0
45.82301555734412,50.95700050026422,0.0,0.0,0.0,0.0,1.0
48.00952785661162,50.95700050026422,0.0,0.0,0.0,0.0,1.0
50.19604015587912,50.95700050026422,0.0,0.0,0.0,0.0,1.0
52.382552455146616,50.95700050026422,0.0,0.0,0.0,0.0,1.0
54.569064754414114,50.95700050026422,0.0,0.0,0.0,0.0,1.0
56.75557705368161,50.95700050026422,0.0,0.0,0.0,0.0,1.0
58.94208935294911,50.95700050026422,0.0,0.0,0.0,0.0,1.0
61.12860165221661,50.95700050026422,0.0,0.0,0.0,0.0,1.0
63.315113951484115,50.95700050026422,0.0,0.0,0.0,0.0,1.0
65.50162625075161,50.95700050026422,0.0,0.0,0.0,0.0,1.0
67.68813855001912,50.95700050026422,0.0,0.0,0.0,0.0,1.0
69.87465084928661,50.95700050026422,0.0,0.0,0.0,0.0,1.0
72.0611631485541,50.95700050026422,0.0,0.0,0.0,0.0,1.0
74.2476754478216,50.95700050026422,0.0,0.0,0.0,0.0,1.0
76.43418774708911,50.95700050026422,0.0,0.0,0.0,0.0,1.0
78.6207000463566,50.95700050026422,0.0,0.0,0.0,0.0,1.0
80.80721234562411,50.95700050026422,0.0,0.0,0.0,0.0,1.0
82.9937246448916,50.95700050026422,0.0,0.0,0.0,0.0,1.0
85.1802369441591,50.95700050026422,0.0,0.0,0.0,0.0,1.0
87.3667492434266,50.95700050026422,0.0,0.0,0.0,0.0,1.0
89.55326154269409,50.95700050026422,0.0,0.0,0.0,0.0,1.0
91.7397738419616,50.95700050026422,0.0,0.0,0.0,0.0,1.0
93.92628614122908,50.95700050026422,0.0,0.0,0.0,0.0,1.0
28.330917163204127,51.57714071158657,0.0,0.0,0.0,0.0,1.0
30.517429462471625,51.57714071158657,0.0,0.0,0.0,0.0,1.0
32.703941761739124,51.57714071158657,0.0,0.0,0.0,0.0,1.0
34.89045406100662,51.57714071158657,0.0,0.0,0.0,0.0,1.0
37.07696636027412,51.57714071158657,0.0,0.0,0.0,0.0,1.0
39.26347865954162,51.57714071158657,0.0,0.0,0.0,0.0,1.0
41.449990958809124,51.57714071158657,0.0,0.0,0.0,0.0,1.0
43.636503258076615,51.57714071158657,0.0,0.0,0.0,0.0,1.0
45.82301555734412,51.57714071158657,0.0,0.0,0.0,0.0,1.0
48.00952785661162,51.57714071158657,0.0,0.0,0.0,0.0,1.0
50.19604015587912,51.57714071158657,0.0,0.0,0.0,0.0,1.0
52.382552455146616,51.57714071158657,0.0,0.0,0.0,0.0,1.0
54.569064754414114,51.57714071158657,0.0,0.0,0.0,0.0,1.0
56.75557705368161,51.57714071158657,0.0,0.0,0.0,0.0,1.0
58.94208935294911,51.57714071158657,0.0,0.0,0.0,0.0,1.0
61.12860165221661,51.57714071158657,0.0,0.0,0.0,0.0,1.0
63.315113951484115,51.57714071158657,0.0,0.0,0.0,0.0,1.0
