episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
0.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90.0,0.25,-0.9077332173955416,6392.11095062862,-1.392941453648433e-05,-8.308689829196668e-07,0.0,0.0,0.0,0.0,0.0,0.9981666666666666,1.0,0.0,0.0
90.0,0.5,-0.9077744815192464,6392.111006095471,-5.5193538241349316e-05,-1.6986081588464795e-06,0.0,0.0,0.0,0.0,0.0,0.999,1.0,0.0,0.0
90.0,0.75,-0.9078430080315952,6392.111043692421,-0.00012372005059013702,-2.286785536885711e-06,0.0,0.0,0.0,0.0,0.0,0.9996666666666667,1.0,0.0,0.0
90.0,1.0,-0.9079387165248606,6392.111049522559,-0.00021942854385548216,-2.377993879915426e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
125.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125.0,0.25,-0.9077337881283053,6392.110877200398,-1.4500147300200439e-05,3.178629973588303e-07,0.0,0.0,0.0,0.0,0.0,0.9986666666666667,1.0,0.0,0.0
125.0,0.5,-0.9077775213230076,6392.110858899653,-5.823334200250052e-05,6.041650556633019e-07,0.0,0.0,0.0,0.0,0.0,0.9993333333333334,1.0,0.0,0.0
125.0,0.75,-0.9078504969537144,6392.110841648849,-0.00013120897270935128,8.740415433003794e-07,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
125.0,1.0,-0.907953008060152,6392.110883557019,-0.00023372007914690407,2.1841820717675942e-07,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
70.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
