episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-1815.4385759620102,-0.9077192879810051,6392.110897518553,-0.9077192879810051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08841552830640288,0.10000000000000002,nan,nan,nan,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,0.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1815.4385759620102,-0.9077192879810051,6392.110897518553,6392.110897518553,6392.110897518553,0.0,-1.0,6389.039849542907
1,-1839.4300950043412,-0.9197150475021706,6394.310200504133,-0.918715802908883,0.0,0.0009573447189281594,0.6915,4.189987435929388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07664527347826003,0.1,0.7709550857543945,0.8000750243663788,5.493500709533691,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,2000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1817.4765667521508,-0.9087382833760755,6392.111407073345,6392.110897518553,6392.111407073345,-7.97162000860466e-06,-1.000165922120175,6389.039849542907
2,-1810.861594081865,-0.9054307970409324,6391.457303994561,-0.9044513203610689,0.0,0.0009413494162611491,0.697,3.8127263602515835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08946295471961832,0.061888620257377625,0.09144134819507599,1.1947555541992188,11.91778564453125,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,4000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
3,-1774.9648751709165,-0.8874824375854582,6387.792599586767,-0.8861277983221092,0.0,0.001330969531379819,0.82,2.3669731968662955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08672846780092403,0.0379558801651001,-0.33865511417388916,1.7335792779922485,18.052209854125977,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,6000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
4,-1814.2576461942888,-0.9071288230971444,6391.693994323738,-0.9056347720068466,0.0,0.0014901051917179588,0.955,3.945898581199066e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08456308811224658,0.022684238851070404,-1.26365327835083,2.9731063842773438,23.642353057861328,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,8000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
5,-1753.4156803176274,-0.8767078401588138,6385.7428789883415,-0.875879195329908,0.0,0.0008282174376562097,0.9885,4.273912519644396e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10094723885017337,0.021322250366210938,-2.3956141471862793,3.678360939025879,28.839536666870117,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,10000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1816.774836659739,-0.9083874183298697,6392.111682106039,6392.110897518553,6392.111682106039,-1.2274309657523091e-05,-1.0002554787458338,6389.039849542907
6,-1812.9913951334302,-0.9064956975667151,6391.708908133574,-0.9057093410560735,0.0,0.0007858747417651106,0.9905,4.817688751563163e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09291096231407182,0.022572524845600128,-2.582343101501465,5.23865818977356,33.213809967041016,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,12000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
7,-1783.6492938689123,-0.8918246469344562,6388.79021390078,-0.8911158698921359,0.0,0.0007074239188099801,0.98,1.3531235079813303e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07916170316782767,0.025280680507421494,-2.7113986015319824,5.164461612701416,37.07398986816406,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,14000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
8,-1782.0895696868592,-0.8910447848434296,6388.585108070519,-0.8900903407407047,0.0,0.0009506770394536302,0.981,3.767063272546309e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948335208059251,0.031592994928359985,-2.1611526012420654,12.023006916046143,40.33222198486328,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,16000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
9,-1811.3502992086599,-0.9056751496043299,6391.568422598865,-0.9050069133825006,0.0,0.0006473734491767147,0.9285,2.086277264995282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09095974674402771,0.02962505631148815,-3.178391218185425,14.149317741394043,42.84235763549805,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,18000.0,15.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
