episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
0.0,0.0,-0.9129892796792376,6393.164895858209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
75.0,0.0,-0.9129892796792376,6393.164895858209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75.0,0.25,-0.9130577298628909,6393.176466490651,-6.845018365331246e-05,-0.00018098442056089842,0.0,0.0,0.0,0.0,0.0,0.8698333333333332,1.0,0.0,0.0
75.0,0.5,-0.9131491698785835,6393.18841745621,-0.00015989019934592452,-0.0003679178995721455,0.0,0.0,0.0,0.0,0.0,0.8688333333333333,1.0,0.0,0.0
75.0,0.75,-0.9132626914091956,6393.200573070794,-0.00027341172995798413,-0.0005580524382885147,0.0,0.0,0.0,0.0,0.0,0.8678333333333333,1.0,0.0,0.0
75.0,1.0,-0.9133982824599202,6393.212944845079,-0.0004090027806825658,-0.0007515680832938497,0.0,0.0,0.0,0.0,0.0,0.8678333333333333,1.0,0.0,0.0
1.0,0.0,-0.9129892796792376,6393.164895858209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.25,-0.9130240569967502,6393.164895858209,-3.477731751255764e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.5,-0.9131283889492946,6393.164895858209,-0.0001391092700570029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.75,-0.9133022755371639,6393.164895858209,-0.00031299585792632367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,-0.913545716759469,6393.164895858209,-0.0005564370802314533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
65.0,0.0,-0.9129892796792376,6393.164895858209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65.0,0.25,-0.9131549087142293,6393.196762147681,-0.0001656290349917322,-0.0004984431027604717,0.0,0.0,0.0,0.0,0.0,0.7426666666666666,1.0,0.0,0.0
65.0,0.5,-0.9133165049816229,6393.225229837692,-0.00032722530238527003,-0.0009437263149833735,0.0,0.0,0.0,0.0,0.0,0.7636666666666666,1.0,0.0,0.0
65.0,0.75,-0.913501519711872,6393.255602525565,-0.0005122400326343923,-0.0014188069420047029,0.0,0.0,0.0,0.0,0.0,0.7901666666666666,1.0,0.0,0.0
65.0,1.0,-0.9136904665533884,6393.283570124739,-0.0007011868741507721,-0.0018562678808176356,0.0,0.0,0.0,0.0,0.0,0.807,1.0,0.0,0.0
15.0,0.0,-0.9129892796792376,6393.164895858209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
