episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-0.9129892796792376,-0.9129892796792376,0.0
1.0,-0.913545716759469,-0.9129892796792376,0.0
5.0,-0.9150444494315085,-0.9129892796792376,0.0
10.0,-0.932488797634263,-0.9129892796792376,0.0
15.0,-0.9138928013189304,-0.9129892796792376,0.0
20.0,-0.9139961785166725,-0.9129892796792376,0.0
25.0,-0.9170237964807537,-0.9129892796792376,0.0
30.0,-0.9155269463826503,-0.9129892796792376,0.0
35.0,-0.9156725233537953,-0.9129892796792376,0.0
40.0,-0.915251304337407,-0.9129892796792376,0.0
45.0,-0.9151340916886391,-0.9129892796792376,0.0
50.0,-0.9153207080764915,-0.9129892796792376,0.0
55.0,-0.9146845016264223,-0.9129892796792376,0.0
60.0,-0.9140492493834848,-0.9129892796792376,0.0
65.0,-0.9136904665533884,-0.9129892796792376,0.0
70.0,-0.9145512465460236,-0.9129892796792376,0.0
75.0,-0.9133982824599202,-0.9129892796792376,0.0
80.0,-0.9169089506599742,-0.9129892796792376,0.0
85.0,-0.9155888173977308,-0.9129892796792376,0.0
90.0,-0.9140107634685578,-0.9129892796792376,0.0
95.0,-0.9143976317726924,-0.9129892796792376,0.0
100.0,-0.9146036885752419,-0.9129892796792376,0.0
105.0,-0.9156172770976783,-0.9129892796792376,0.0
110.0,-0.9139262372633343,-0.9129892796792376,0.0
115.0,-0.9139689610300045,-0.9129892796792376,0.0
120.0,-0.9172896793657577,-0.9129892796792376,0.0
125.0,-0.9152998567241882,-0.9129892796792376,0.0
130.0,-0.9154256176596123,-0.9129892796792376,0.0
135.0,-0.9141002425605139,-0.9129892796792376,0.0
140.0,-0.9139953312417625,-0.9129892796792376,0.0
145.0,-0.9140313984566516,-0.9129892796792376,0.0
150.0,-0.9143145789617252,-0.9129892796792376,0.0
155.0,-0.9152722793670813,-0.9129892796792376,0.0
160.0,-0.9150993299210683,-0.9129892796792376,0.0
165.0,-0.914506457926672,-0.9129892796792376,0.0
170.0,-0.9142626448599938,-0.9129892796792376,0.0
175.0,-0.9145323310080179,-0.9129892796792376,0.0
180.0,-0.914328387748642,-0.9129892796792376,0.0
185.0,-0.9151935663580147,-0.9129892796792376,0.0
190.0,-0.9151822959322783,-0.9129892796792376,0.0
195.0,-0.9168279279980011,-0.9129892796792376,0.0
200.0,-0.9139443433661946,-0.9129892796792376,0.0
