time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm
0.0,28.78388889573508,53.31756318305268,173.459962315309,223.9270191449631,9.516765564965427,5.152049327891905,42.25201270865286,22.730323656718085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.18250037684691,0.08037019144963112,-0.18250037684691,0.08037019144963112,-0.18250037684691,0.08037019144963112,0.0,0.0,4.692892081573055,5271.988623607746,4.692892081573055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.005221356771906216,-0.0007779155900480561,0.005221356771906216,-0.0007779155900480561
0.2,28.40923751478272,53.20992410801726,215.5040541873307,223.44625343346516,10.312749231516339,5.059567248971703,42.15555706286362,23.75520198347875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2785353457782964,0.08050688835032846,0.2785353457782964,0.08050688835032846,0.2785353457782964,0.08050688835032846,-0.04059480390498962,-0.004944354015676797,-0.7128213436494025,6353.131308652238,-0.7128213436494025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.00048556140770847356,-0.001456730517232524,-0.0030029665889223685,-0.00029681167411763337
0.4,28.3236337420885,53.19413035219204,220.30790420714337,223.6530372406816,9.555660865805624,4.6953526252827045,41.84956997073011,22.589011587582185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2784486740811365,0.0804444232589069,0.2784486740811365,0.0804444232589069,0.2784486740811365,0.0804444232589069,0.0075303679902971165,-0.0028140508520907246,-0.874156345334627,6385.398308989283,-0.874156345334627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.005677581033441459,-0.002240307260179819,0.005602909162192801,-0.0008769906460138789
0.6000000000000001,28.41608087870575,53.17625162090429,215.4745115013403,223.09203214673408,10.291916723035856,4.720811310666262,40.12922174133911,26.555551376234355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2783624034404151,0.08038224721255914,0.2783624034404151,0.08038224721255914,0.2783624034404151,0.08038224721255914,-0.040717288427012194,-0.008361925745218093,-0.7138192230188907,6353.330884526135,-0.7138192230188907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.002685960528218345,-0.001978508668516038,-0.005704914959456699,0.0006243884123605494
0.8,28.290627755280852,53.17929060968138,222.21010310062212,223.66708982706024,9.89666603418642,5.356237159500562,39.52190784770678,28.57843987559542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2782765320003213,0.08032035887378525,0.2782765320003213,0.08032035887378525,0.2782765320003213,0.08032035887378525,0.026724499005899835,-0.002549460603182722,-1.2765937725326921,6465.885794428896,-1.2765937725326921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0035533618253990318,-0.00044082761867139664,0.00436801322398893,0.0012511167407009494
1.0,28.384217590585113,53.20785741373432,216.7446978686103,223.59835592659172,9.71914213528926,5.278448752840796,38.32035840904239,27.00005881106278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2781910579136324,0.08025875691127433,0.2781910579136324,0.08025875691127433,0.2781910579136324,0.08025875691127433,-0.027844079227529468,-0.003175197645356883,-0.5200578648200508,6314.578612886367,-0.5200578648200508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.007198748594474086,-0.00010693397488528711,0.0055034314812794855,0.0005972170660058692
1.2000000000000002,28.43889839212124,53.2123585887366,213.68660425712028,223.4347989568258,10.39126699700618,5.046019150119728,39.84175443408383,28.963911053659025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.278105979341672,0.08019743999987589,0.278105979341672,0.08019743999987589,0.278105979341672,0.08019743999987589,-0.05833993677046928,-0.004749450431617874,-0.5280119943472027,6316.169438791798,-0.5280119943472027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.001940313014035383,0.0008275866599326553,-0.005216101110353504,0.0014977495421018895
1.4000000000000001,28.301812467993596,53.228882375806,220.88842539361318,224.20267589926664,9.933630198763874,5.394262984793084,42.56044049194807,27.17870061494549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2780212944542739,0.08013640682057127,0.2780212944542739,0.08013640682057127,0.2780212944542739,0.08013640682057127,0.01376295948185775,0.002990352172095103,-1.1194671080812986,6434.460461538617,-1.1194671080812986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.003963515772964832,0.0018351846368879765,0.005007755751976503,0.0008860287456376051
1.6,28.3903698997986,53.24687773535727,215.82643500701013,224.04160014064772,10.312682819636528,4.984379951488667,42.10938863214499,22.15425935591241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2779370014297371,0.08007565606044532,0.2779370014297371,0.08007565606044532,0.2779370014297371,0.08007565606044532,-0.03677265135963587,0.0014403453460319624,-0.7478817754361399,6360.143395009585,-0.7478817754361399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0020655651867801106,0.0005747818129652471,-0.003486678014227894,-0.0008785904581193815
1.8,28.299933685402426,53.21952305813841,221.03565554772155,224.1442918556606,9.799024310029358,4.8807241624148,37.96999292179438,26.75115606427225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27785309845479333,0.0800151864126582,0.27785309845479333,0.0800151864126582,0.27785309845479333,0.0800151864126582,0.015403457022422124,0.002527732143948009,-1.087478556141773,6428.062751150712,-1.087478556141773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0010182358299620775,0.0012239413369346808,0.00206804503258619,0.0005081491657258026
2.0,28.34619070065356,53.23036956094778,218.3574601016346,224.08361333977567,10.209819256560174,5.490281011505601,36.80161529182114,25.485213046631536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2777695837245644,0.07995499657641716,0.2777695837245644,0.07995499657641716,0.2777695837245644,0.07995499657641716,-0.011294982708218501,0.001981136821339767,-0.9915541195565493,6408.877863833667,-0.9915541195565493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-8.519653043873032e-05,0.0011601950490330026,-0.00029832919425269814,6.28303377501751e-05
2.2,28.329639215247546,53.22696783462677,219.26306932302253,224.13326437726803,10.200310976083603,5.4994269740052175,40.738894686394964,22.94970583881552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27768645544252313,0.07989508525694863,0.27768645544252313,0.07989508525694863,0.27768645544252313,0.07989508525694863,-0.0021557622122977908,0.0025375585157317616,-1.0941863656078203,6429.404313043921,-1.0941863656078203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0010723851366769566,0.00044425234504125166,0.0013451862017268953,-0.0006787323735656452
2.4000000000000004,28.34700294025428,53.210532021340335,218.48827529682637,223.9013215874947,9.73520929751396,5.3441157980741405,38.374311773711675,26.06900876000961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2776037118204553,0.07983545116547039,0.2776037118204553,0.07983545116547039,0.2776037118204553,0.07983545116547039,-0.009820958852191598,0.0002777647094765503,-0.7397116386910647,6358.50936766057,-0.7397116386910647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.006257951514959587,0.0006063912144730066,0.005862891481461241,0.0002634642129590943
2.6,28.42478643592852,53.21166763533978,214.21882699491127,223.6044700931268,9.696969345234635,4.840669532749315,38.80212548103473,28.566504472384942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.277521351078422,0.07977609301916373,0.277521351078422,0.07977609301916373,0.277521351078422,0.07977609301916373,-0.0524330811293095,-0.0026313920878957707,-0.20968326717840227,6252.503693358038,-0.20968326717840227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.005680954468036237,0.0012782639499123172,0.002974501429227978,0.0011879706384940046
2.8000000000000003,28.41613148022467,53.223007677148544,214.5153376957045,223.77864727806028,9.791730556583467,4.98473946858734,40.79467816884917,25.68996695338057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27743937144471986,0.07971700954114605,0.27743937144471986,0.07971700954114605,0.27743937144471986,0.07971700954114605,-0.04938599448767496,-0.0008305367605431975,-0.2960158110498105,6269.770202132319,-0.2960158110498105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0055587273795336956,0.0010295307251557417,0.0032487827641166245,0.0002473325676655852
3.0,28.414298073897132,53.215945305124066,214.66776485506585,223.72718606802553,9.739306136229011,4.5217232384731725,41.19087113671799,23.381281572302473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2773577711558446,0.07965819946044315,0.2773577711558446,0.07965819946044315,0.2773577711558446,0.07965819946044315,-0.04778012260518607,-0.001286338780187796,-0.303894840232756,6271.346007968908,-0.303894840232756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.003515098890389118,-2.4949853947658918e-05,0.0012101782264053217,-0.0005774633820851783
3.2,28.383643646559964,53.19277764647361,216.58226022892723,223.62389147224863,10.286269503601405,4.500036054515777,38.25534385468685,23.433197911247827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2772765484564508,0.0795996615119621,0.2772765484564508,0.0795996615119621,0.2772765484564508,0.0795996615119621,-0.02855394616717856,-0.002260746789475781,-0.8615571510502241,6382.878470132402,-0.8615571510502241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.006026012354919896,-0.000892416492641851,-0.007620051003343035,-0.0005914136391997359
3.4000000000000004,28.24052697788033,53.173359882390386,224.55430934497207,224.03147387895712,10.203495737339189,4.607092054990675,42.06511902813683,29.307957324312316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27719570159931783,0.07954139443646391,0.27719570159931783,0.07954139443646391,0.27719570159931783,0.07954139443646391,0.05124739185040287,0.0018733443531073742,-1.7513773606318954,6560.842512048736,-1.7513773606318954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.006331446219310061,0.0013146525713921275,-0.003787600766707398,0.0016984198048996192
3.6,28.235945469914476,53.21544240362572,224.25287220106426,224.51740297773108,10.002311200137767,4.885482923255698,42.97586184101255,20.71462546800546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2771152288453076,0.0794833969805365,0.2771152288453076,0.0794833969805365,0.2771152288453076,0.0794833969805365,0.04831349316533493,0.00679063279677457,-1.6013107511436737,6530.829190151092,-1.6013107511436737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.001903767129263656,0.00034246826856568213,0.0012238417706164706,-0.0014213446543411919
3.8000000000000003,28.302360656265172,53.19394938449868,220.87919805655199,224.02543984144603,10.386790087399243,4.947866338054475,40.705146690707465,20.74862354301495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.277035128463331,0.07942566789656767,0.277035128463331,0.07942566789656767,0.277035128463331,0.07942566789656767,0.014656852102188648,0.0019287305178926164,-1.4299667333575554,6496.560386593868,-1.4299667333575554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.005699244064449993,-0.0009567144486595514,-0.004769488701760159,-0.0014362382248909037
4.0,28.245428502237377,53.16592587997427,224.2800590526837,223.97986877639775,10.244607080194536,5.19118804883348,41.30836050011592,26.329551503847803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27695539873030883,0.07936820594271835,0.27695539873030883,0.07936820594271835,0.27695539873030883,0.07936820594271835,0.048745191796527976,0.0015304818212593374,-1.742559406676819,6559.078921257721,-1.742559406676819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0030906404973601864,0.00011457815412052597,-0.0007074948663465196,0.0005859591424870528
4.2,28.284557555743724,53.18532132086033,221.8854495421522,224.03971159488015,9.63129958898273,4.655977070702069,39.78227971311456,24.45270210408772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27687603793113524,0.07931100988289579,0.27687603793113524,0.07931100988289579,0.27687603793113524,0.07931100988289579,0.024878457490386714,0.0021861060659058283,-1.1132959964672227,6433.226239215802,-1.1132959964672227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.002291607539608498,7.765666424178197e-05,0.0037118691873163257,-0.00027613297582647383
4.4,28.365291276298255,53.182561875226405,217.50511328039556,223.68813181607555,10.359360522176097,4.695850544469229,43.39157522072269,24.272504001806393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27679704435864005,0.07925407848672707,0.27679704435864005,0.07925407848672707,0.27679704435864005,0.07925407848672707,-0.018845911554684597,-0.0012727603259712968,-0.9987081475938839,6410.308669441134,-0.9987081475938839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.00447214618998687,-0.00014418769816654242,-0.005492385421766917,-3.8320595663663006e-05
4.6000000000000005,28.263834970354324,53.17611332399999,223.0578742113908,224.05970055607318,9.621730731639595,5.2209478210389175,43.35394409089631,23.246396685806907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.27671841631355276,0.07919741052953251,0.27671841631355276,0.07919741052953251,0.27671841631355276,0.07919741052953251,0.03676032580035526,0.0024995950311995515,-1.233529434385555,6457.272926799468,-1.233529434385555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.006673541343866635,-0.000354594387689422,0.008666057812875414,-0.0005682805415009686
