episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-4.789503917640007,-4.789503917640007,-1.0
1.0,-4.798901651816315,-4.789503917640007,-1.0
5.0,-4.773351252119434,-4.773351252119434,-0.2871556183121792
10.0,-4.8370366104036355,-4.773351252119434,-0.2871556183121792
15.0,-4.836432222223021,-4.773351252119434,-0.2871556183121792
20.0,-4.822100568987035,-4.773351252119434,-0.2871556183121792
25.0,-4.83189316492566,-4.773351252119434,-0.2871556183121792
30.0,-4.829782806647505,-4.773351252119434,-0.2871556183121792
35.0,-4.799929899793159,-4.773351252119434,-0.2871556183121792
40.0,-4.774602770828251,-4.773351252119434,-0.2871556183121792
45.0,-4.771360555596388,-4.771360555596388,-0.1993028221101472
50.0,-4.768631919424165,-4.768631919424165,-0.07888350416156022
55.0,-4.771814842162982,-4.768631919424165,-0.07888350416156022
60.0,-4.766844462174666,-4.766844462174666,0.0
65.0,-4.782200029852351,-4.766844462174666,0.0
70.0,-4.789370762347487,-4.766844462174666,0.0
75.0,-4.793665164826552,-4.766844462174666,0.0
80.0,-4.803380105651716,-4.766844462174666,0.0
85.0,-4.788860397844673,-4.766844462174666,0.0
90.0,-4.782971251269786,-4.766844462174666,0.0
95.0,-4.78527344048596,-4.766844462174666,0.0
100.0,-4.787432851786527,-4.766844462174666,0.0
105.0,-4.79350620707109,-4.766844462174666,0.0
110.0,-4.794172813815926,-4.766844462174666,0.0
115.0,-4.790887549301135,-4.766844462174666,0.0
120.0,-4.796392229905319,-4.766844462174666,0.0
125.0,-4.798241616526929,-4.766844462174666,0.0
130.0,-4.831819133969037,-4.766844462174666,0.0
135.0,-4.829642162202869,-4.766844462174666,0.0
140.0,-4.79090415532018,-4.766844462174666,0.0
145.0,-4.788127024661833,-4.766844462174666,0.0
150.0,-4.804235649588485,-4.766844462174666,0.0
155.0,-4.807105281818818,-4.766844462174666,0.0
160.0,-4.805706862215126,-4.766844462174666,0.0
165.0,-4.786028974755564,-4.766844462174666,0.0
170.0,-4.803270378657963,-4.766844462174666,0.0
175.0,-4.801533671426547,-4.766844462174666,0.0
180.0,-4.80527839904944,-4.766844462174666,0.0
185.0,-4.780576218935479,-4.766844462174666,0.0
190.0,-4.799679356116752,-4.766844462174666,0.0
195.0,-4.798287782622264,-4.766844462174666,0.0
200.0,-4.778430511117327,-4.766844462174666,0.0
