time_min,X2,P2,P100,F200,F1,X1,T1,T200,actor_a1,actor_a2,residual_P100,residual_F200,applied_residual_P100,applied_residual_F200,execution_mask,w_hat_1,w_hat_2,w_est_1,w_est_2,residual_feasible_scale,residual_requested_norm,residual_applied_norm,residual_execution_ratio,feasible_action_mapping_scale,feasible_action_mapping_gap,base_P100_norm,base_F200_norm,candidate_P100_norm,candidate_F200_norm,qp_nominal_P100_norm,qp_nominal_F200_norm,hinf_feedback_P100_norm,hinf_feedback_F200_norm,reward,economic_cost,economic_reward,projection_penalty,mapping_penalty,move_penalty,safety_penalty,state_excess_squared,input_excess_squared,rpi_excess_squared,violation,rpi_violation,projection_gap,robust_state_violation,robust_input_violation,robust_region_violation,e_X2_norm,e_P2_norm,w_X2_norm,w_P2_norm,paper2016_scenario,state_shock_X2,state_shock_P2
0.0,25.0,50.743,300.52831370055276,218.17879322602806,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0008214734418753311,2.6968656990922213e-07,-0.00016429468837506617,5.3937313981844414e-08,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,1.0771875634055221,0.045361244590161325,-31.454274182930952,8711.135049870029,-11.454274182930954,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1258164240782292,-0.008060311662084457,-0.0008214734418753311,2.6968656990922213e-07,pressure_positive,0.0,1.0
0.016666666666666666,25.083780586070233,50.75936817320261,300.52831370055276,218.1466578176726,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000802058623336821,2.642768614502522e-07,-0.0002918474753674171,9.600522347552597e-08,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,1.0590987434918553,0.045039890506606915,-31.426846355872225,8705.649484458283,-11.426846355872225,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12371389732923946,-0.007711827387141074,-0.000802058623336821,2.642768614502522e-07,pressure_positive,0.0,0.0
0.03333333333333333,25.167503942924075,50.775692824855966,300.52831370055276,218.11384806502292,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007827460165752143,2.588603948971979e-07,-0.00039002718360897653,1.2857625775986034e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,1.0409248140362575,0.04471179298011004,-31.399449494445022,8700.170112172842,-11.39944949444502,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.12160099785065762,-0.007364172551414416,-0.0007827460165752143,2.588603948971979e-07,pressure_positive,0.0,0.0
0.05,25.251168892539336,50.79197403522575,300.52831370055276,218.08037029908803,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007635356324015574,2.534386808472622e-07,-0.00046472887336749267,1.535487423773407e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,1.0226668900435498,0.044377015320761146,-31.372083866629705,8694.696986609779,-11.372083866629705,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11947785965964677,-0.007017348102817206,-0.0007635356324015574,2.534386808472622e-07,pressure_positive,0.0,0.0
0.06666666666666667,25.334774260506855,50.80821188475504,300.52831370055276,218.04623083423368,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007444274769722314,2.4801322531797787e-07,-0.0005206685940884404,1.7244163896546813e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,1.0043260826656681,0.044035620672217585,-31.344749739392842,8689.230161162406,-11.344749739392842,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11734461631239751,-0.006671354961285653,-0.0007444274769722314,2.4801322531797787e-07,pressure_positive,0.0,0.0
0.08333333333333333,25.4183188760872,50.8244064540633,300.52831370055276,218.01143596801478,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000725421551802774,2.425855328280768e-07,-0.0005616191856313072,1.8647041773798985e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.9859034991776265,0.043687672010028704,-31.317447378673574,8683.769689018553,-11.317447378673574,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11520140090121327,-0.006326194018902304,-0.000725421551802774,2.425855328280768e-07,pressure_positive,0.0,0.0
0.1,25.501801572266977,50.84055782394541,300.52831370055276,217.97599198100968,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0007065178537840611,2.371571033998876e-07,-0.0005905989192618579,1.966077548703694e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.9674002429536713,0.04333323213997762,-31.290177049370044,8678.315623157847,-11.290177049370046,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.1130483460516213,-0.005981866140022191,-0.0007065178537840611,2.371571033998876e-07,pressure_positive,0.0,0.0
0.11666666666666667,25.585221185814714,50.85666607537061,300.52831370055276,217.9399051366548,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006877163751980164,2.3172943303118032e-07,-0.0006100224104490896,2.036320905025316e-07,0.04999999999999994,0.0,0.0,0.0,0.04999999999999994,0.0,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.3847335411874141,-0.015074761729880693,0.9488174134436528,0.04297236369642893,-31.26293901532604,8672.868016349046,-11.262939015326042,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.11088558391950865,-0.005638372161399091,-0.0006877163751980164,2.3172943303118032e-07,pressure_positive,0.0,0.0
0.13333333333333333,25.668576557336294,50.872731289481465,300.52831370055276,217.90318168108075,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006690171037338211,2.2630401366741104e-07,-0.0006218213491060359,2.0816647513550747e-07,0.05,0.0,0.0,0.0,0.05,0.0,0.38043031199406807,-0.015074761729880693,0.38043031199406807,-0.015074761729880693,0.38043031199406807,-0.015074761729880693,0.9301561061496052,0.04260512914068833,-31.235733539317494,8667.426921147337,-11.235733539317494,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.10868671233912335,-0.00529227984984848,-0.0006690171037338211,2.2630401366741104e-07,pressure_positive,0.0,0.0
0.15,25.751866531329988,50.888753547592785,300.52831370055276,217.86522217770693,10.0,5.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0006504200221846557,2.2084328893390293e-07,-0.0006275410837217599,2.1070183789518658e-07,0.05,0.0,0.0,0.0,0.05,0.0,0.3694632229167834,-0.015074761729880693,0.3694632229167834,-0.015074761729880693,0.3694632229167834,-0.015074761729880693,0.9111902027840936,0.042225534106950034,-31.208559058590787,8661.992025001995,-11.208559058590787,0.0,0.0,0.0,20.0,0.0,0.0,0.0,False,True,0.0,False,False,False,-0.10641088110563343,-0.004938282930252141,-0.0006504200221846557,2.2084328893390293e-07,pressure_positive,0.0,0.0
