X2,P2,requested_delta_P100,requested_delta_F200,applied_delta_P100,applied_delta_F200,mapping_scale
26.918626654336443,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999994
27.092212068375442,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999994
27.265797482414442,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999994
27.43938289645344,50.87072996146126,0.0,0.0,0.0,0.0,0.05
27.612968310492445,50.87072996146126,0.0,0.0,0.0,0.0,0.05
27.786553724531444,50.87072996146126,0.0,0.0,0.0,0.0,0.05
27.960139138570444,50.87072996146126,0.0,0.0,0.0,0.0,0.05
28.133724552609443,50.87072996146126,0.0,0.0,0.0,0.0,0.05
28.307309966648443,50.87072996146126,0.0,0.0,0.0,0.0,0.05
28.480895380687443,50.87072996146126,0.0,0.0,0.0,0.0,0.05
28.654480794726442,50.87072996146126,0.0,0.0,0.0,0.0,0.05
28.828066208765442,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.00165162280444,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.17523703684344,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.34882245088244,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.522407864921444,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.695993278960444,50.87072996146126,0.0,0.0,0.0,0.0,0.05
29.869578692999443,50.87072996146126,0.0,0.0,0.0,0.0,0.05000000000000002
30.043164107038443,50.87072996146126,0.0,0.0,0.0,0.0,0.05000000000000006
30.216749521077443,50.87072996146126,0.0,0.0,0.0,0.0,0.05000000000000002
30.390334935116442,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999993
30.563920349155442,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999993
30.73750576319444,50.87072996146126,0.0,0.0,0.0,0.0,0.05000000000000002
30.91109117723344,50.87072996146126,0.0,0.0,0.0,0.0,0.049999999999999975
31.08467659127244,50.87072996146126,0.0,0.0,0.0,0.0,0.049999999999999975
31.25826200531144,50.87072996146126,0.0,0.0,0.0,0.0,0.0500000000000001
31.43184741935044,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999993
31.605432833389443,50.87072996146126,0.0,0.0,0.0,0.0,0.05000000000000002
31.779018247428443,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999985
31.952603661467442,50.87072996146126,0.0,0.0,0.0,0.0,0.049999999999999996
32.12618907550644,50.87072996146126,0.0,0.0,0.0,0.0,0.04999999999999991
26.918626654336443,50.97970289060173,0.0,0.0,0.0,0.0,0.04999999999999994
27.092212068375442,50.97970289060173,0.0,0.0,0.0,0.0,0.04999999999999994
27.265797482414442,50.97970289060173,0.0,0.0,0.0,0.0,0.04999999999999994
27.43938289645344,50.97970289060173,0.0,0.0,0.0,0.0,0.05
27.612968310492445,50.97970289060173,0.0,0.0,0.0,0.0,0.05
27.786553724531444,50.97970289060173,0.0,0.0,0.0,0.0,0.05
27.960139138570444,50.97970289060173,0.0,0.0,0.0,0.0,0.05
28.133724552609443,50.97970289060173,0.0,0.0,0.0,0.0,0.05
28.307309966648443,50.97970289060173,0.0,0.0,0.0,0.0,0.05
28.480895380687443,50.97970289060173,0.0,0.0,0.0,0.0,0.05
28.654480794726442,50.97970289060173,0.0,0.0,0.0,0.0,0.05
28.828066208765442,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.00165162280444,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.17523703684344,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.34882245088244,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.522407864921444,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.695993278960444,50.97970289060173,0.0,0.0,0.0,0.0,0.05
29.869578692999443,50.97970289060173,0.0,0.0,0.0,0.0,0.05
30.043164107038443,50.97970289060173,0.0,0.0,0.0,0.0,0.05
