time_min,F1,X1,T1,T200,baseline_X2,baseline_P2,sac_X2,sac_P2,baseline_P100,baseline_F200,sac_P100,sac_F200,baseline_economic_cost,sac_economic_cost,baseline_cumulative_economic_cost,sac_cumulative_economic_cost,baseline_w_est_1,baseline_w_est_2,sac_w_est_1,sac_w_est_2,sac_residual_P100_normalized,sac_residual_F200_normalized
0.0,10.0,5.0,40.0,25.0,29.0,53.57,28.99988070015157,53.56997603602891,222.62265879332617,215.15014494495907,222.49366581276018,215.26428255677925,6420.280213366035,6417.284237992311,6420.280213366035,6417.284237992311,-2.520265574555639e-20,-8.638848779015573e-22,3.2343663968067367e-12,1.462540267951213e-11,-0.001289929805659759,0.0011413761182017717
0.016666666666666666,10.0,5.0,40.0,25.0,29.0,53.57,28.99966169225971,53.56993194467447,222.62265879332617,215.15014494495907,222.38531590905222,215.36233269018572,6420.280213366035,6414.776848961216,12840.56042673207,12832.061086953527,-4.618059111368718e-20,-1.6594281468578718e-21,2.5505534541759695e-11,6.224054213224715e-11,-0.00239945394506625,0.0021219155206949536
0.03333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.999330654310615,53.56986516863585,222.62265879332617,215.15014494495907,222.26318907904187,215.47440344767898,6420.280213366035,6411.957125923107,19260.840640098104,19244.018212876632,-6.375887604484733e-20,-2.397739169904361e-21,9.685514427152294e-11,1.6779308897213357e-10,-0.0036684986191042363,0.003242693049226702
0.05,10.0,5.0,40.0,25.0,29.0,53.57,28.99900724044464,53.56979963823415,222.62265879332617,215.15014494495907,222.2699315160351,215.47465453243518,6420.280213366035,6412.139195702723,25681.12085346414,25656.157408579355,-7.859804749208023e-20,-3.0877673756721926e-21,2.0103386587145585e-10,2.5246796026072947e-10,-0.003673289448547258,0.003245309665153235
0.06666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.998691725150724,53.56973540982064,222.62265879332617,215.15014494495907,222.27700434944734,215.47465388073417,6420.280213366035,6412.328488689209,32101.401066830178,32068.48589726856,-9.122700435093173e-20,-3.736732742015795e-21,3.280466544189688e-10,3.202569307776307e-10,-0.003673114155338133,0.003245407284247852
0.08333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.998383918495648,53.56967245225327,222.62265879332617,215.15014494495907,222.2839066589972,215.47465240180057,6420.280213366035,6412.513236579383,38521.681280196215,38480.999133847945,-1.0206932370630385e-19,-4.3504702251978065e-21,4.701564460230848e-10,3.7453584140593946e-10,-0.0036729222054236073,0.00324549490171879
0.1,10.0,5.0,40.0,25.0,29.0,53.57,28.998083633244054,53.56961073479094,222.62265879332617,215.15014494495907,222.29064051633034,215.47465092954891,6420.280213366035,6412.693500938954,44941.96149356225,44893.6926347869,-1.114643141328604e-19,-4.933705335422565e-21,6.213523221558528e-10,4.180061123593911e-10,-0.0036727343997550576,0.003245580892610716
0.11666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.99779068661861,53.569550227421175,222.62265879332617,215.15014494495907,222.29720990862702,215.47464950599124,6420.280213366035,6412.869388203118,51362.24170692829,51306.56202299002,-1.1968385856759216e-19,-5.490274636390393e-21,7.769947602384128e-10,4.528287735913811e-10,-0.0036725517840053277,0.003245665712947236
0.13333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.9975049003293,53.56949090086744,222.62265879332617,215.15014494495907,222.30361887494723,215.47464813142096,6420.280213366035,6413.041005736803,57782.521920294326,57719.60302872682,-1.2694588890069406e-19,-6.023302172708939e-21,9.335324096856767e-10,4.807327239619894e-10,-0.0036723739022985853,0.003245749401046015
0.15,10.0,5.0,40.0,25.0,29.0,53.57,28.99722610044021,53.56943272656841,222.62265879332617,215.15014494495907,222.30987133062922,215.4746467644106,6420.280213366035,6413.208457660482,64202.80213366036,64132.811486387305,-1.3342516587545906e-19,-6.535340650949741e-21,1.0882762016847902e-09,5.03101097946142e-10,-0.0036722005477166394,0.0032458315774474104
0.16666666666666666,10.0,5.0,40.0,25.0,29.0,53.57,28.99695411721652,53.56937567665001,222.62265879332617,215.15014494495907,222.31597104525568,215.47464544686414,6420.280213366035,6413.371844410248,70623.0823470264,70546.18333079755,-1.3926190326567724e-19,-7.028484410368127e-21,1.2392190994436825e-09,5.210403807959908e-10,-0.00367203201247539,0.0032459126954381403
0.18333333333333332,10.0,5.0,40.0,25.0,29.0,53.57,28.996688785067825,53.569319723918476,222.62265879332617,215.15014494495907,222.32192174610182,215.47464415812894,6420.280213366035,6413.531265117505,77043.36256039243,76959.71459591505,-1.4456866746999078e-19,-7.504459834189003e-21,1.3848920257782392e-09,5.354357129460203e-10,-0.0036718680875663587,0.003245992582182757
0.2,10.0,5.0,40.0,25.0,29.0,53.57,28.996429942446625,53.5692648418431,222.62265879332617,215.15014494495907,222.3277270694217,215.4746428983646,6420.280213366035,6413.686816505144,83463.64277375846,83373.4014124202,-1.494358974145696e-19,-7.964697710189924e-21,1.5242492456365281e-09,5.469952789916628e-10,-0.003671708562946654,0.0032460712723935753
0.21666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.99617743172627,53.5692110045367,222.62265879332617,215.15014494495907,222.3333905377097,215.47464164685962,6420.280213366035,6413.838592328585,89883.92298712449,89787.24000474878,-1.5393632073273645e-19,-8.410391148828732e-21,1.6565769666308568e-09,5.562855681829643e-10,-0.0036715534776969126,0.0032461485914964446
