w_est_1_normalized,w_est_2_normalized,requested_delta_P100,requested_delta_F200,applied_delta_P100,applied_delta_F200
-1.0,-1.0,-10.656967878341675,-0.5387252196669579,-0.9471098072022713,-0.04787777769047481
-1.0,0.0,-9.921026229858398,-0.471753515303135,-0.881704941506497,-0.041925844764324524
-1.0,1.0,-9.448667049407959,-0.4521510377526283,-0.8397252698556283,-0.040183726467123065
0.0,-1.0,-10.709560632705688,-0.5318575724959373,-0.9517838490136545,-0.04726743372938458
0.0,0.0,-9.951026201248169,-0.45924842357635504,-0.8843711095426027,-0.04081448784276831
0.0,1.0,-9.305140256881714,-0.42156968265771866,-0.8269697061390335,-0.03746588949336359
1.0,-1.0,-10.965925455093384,-0.563383735716343,-0.9745675939096594,-0.05006923802403654
1.0,0.0,-10.327504634857178,-0.4811840131878853,-0.9178296336501865,-0.042763955297771786
1.0,1.0,-9.750801801681517,-0.4400254040956497,-0.8665766961000927,-0.03910609287695281
