time_min,F1,X1,T1,T200,baseline_X2,baseline_P2,sac_X2,sac_P2,baseline_P100,baseline_F200,sac_P100,sac_F200,baseline_economic_cost,sac_economic_cost,baseline_cumulative_economic_cost,sac_cumulative_economic_cost,baseline_w_est_1,baseline_w_est_2,sac_w_est_1,sac_w_est_2,sac_residual_P100_normalized,sac_residual_F200_normalized
0.0,10.0,5.0,40.0,25.0,29.0,53.57,28.999182050245704,53.56986010296126,222.62265879332617,215.15014494495907,221.73828768378357,215.1093304571163,6420.280213366035,6399.243796428193,6420.280213366035,6399.243796428193,-2.520265574555639e-20,-8.638848779015573e-22,1.5376222933658396e-10,1.8476987599441367e-12,-0.008843711095426027,-0.00040814487842768307
0.016666666666666666,10.0,5.0,40.0,25.0,29.0,53.57,28.99781905337145,53.56962684734522,222.62265879332617,215.15014494495907,221.14532465419788,215.0810767561564,6420.280213366035,6385.190031954145,12840.56042673207,12784.433828382338,-4.611442751940899e-20,-1.6510896491692366e-21,1.062894710712877e-09,6.6816850484560286e-12,-0.014951594487526863,-0.0006904820598965835
0.03333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.99554746476932,53.56923794839989,222.62265879332617,215.15014494495907,220.15676040181145,215.03396709672586,6420.280213366035,6361.760120145885,19260.840640098104,19146.193948528224,-6.357523952043115e-20,-2.3745967345402956e-21,4.316940879596757e-09,1.9927053512109547e-11,-0.025134255314866506,-0.0011612443225480764
0.05,10.0,5.0,40.0,25.0,29.0,53.57,28.99321758602839,53.568838689480174,222.62265879332617,215.15014494495907,220.0835302845278,215.02815037015714,6420.280213366035,6360.159798982419,25681.12085346414,25506.353747510642,-7.825747285973101e-20,-3.0448490370904057e-21,9.483599454146103e-09,3.161220891040057e-11,-0.026361527945631225,-0.0012188512374463635
0.06666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.990944363964722,53.568448721874795,222.62265879332617,215.15014494495907,220.13434459862674,215.02808735129622,6420.280213366035,6361.5138287408645,32101.401066830178,31867.867576251505,-9.069946343959891e-20,-3.6702564605262195e-21,1.5893781076088026e-08,4.055051746047321e-11,-0.02636100568582431,-0.0012189021218580683
0.08333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.988726166129567,53.56806777726068,222.62265879332617,215.15014494495907,220.18365489623073,215.0280243961716,6420.280213366035,6362.828592073943,38521.681280196215,38230.69616832545,-1.0133230062017225e-19,-4.257601173675435e-21,2.3136410802402663e-08,4.7315504320560166e-11,-0.026363132546896498,-0.0012189619134046368
0.1,10.0,5.0,40.0,25.0,29.0,53.57,28.986561650834034,53.56769563701038,222.62265879332617,215.15014494495907,220.2317677056351,215.02796252304051,6420.280213366035,6364.111474237543,44941.96149356225,44594.80764256299,-1.1050126630422873e-19,-4.8123618359627964e-21,3.089121781805651e-08,5.236447192123097e-11,-0.02636520537369191,-0.0012190203452033196
0.11666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.98444950966271,53.56733208785955,222.62265879332617,215.15014494495907,220.2787124382038,215.02790171742654,6420.280213366035,6365.363257522607,51362.24170692829,50960.1709000856,-1.1848298652308978e-19,-5.338973023860376e-21,3.8910627761118105e-08,5.606215438542443e-11,-0.026367228255804058,-0.0012190775297767863
0.13333333333333333,10.0,5.0,40.0,25.0,29.0,53.57,28.982388466762536,53.56697692179638,222.62265879332617,215.15014494495907,220.32451791797018,215.02784197366634,6420.280213366035,6366.5847082058135,57782.521920294326,57326.75560829141,-1.2549915289719406e-19,-5.841032794766988e-21,4.700477500948016e-08,5.869911780682211e-11,-0.02636920337747858,-0.0012191334804387735
0.15,10.0,5.0,40.0,25.0,29.0,53.57,28.980377277978697,53.56662993592399,222.62265879332617,215.15014494495907,220.369212211236,215.0277833049005,6420.280213366035,6367.776572550742,64202.80213366036,63694.53218084215,-1.3172750008728415e-19,-6.321468774714871e-21,5.502953596198553e-08,6.050682582617554e-11,-0.026371132916305908,-0.0012191880123959193
0.16666666666666666,10.0,5.0,40.0,25.0,29.0,53.57,28.978414730367398,53.56629093238908,222.62265879332617,215.15014494495907,220.41282302884483,215.02772568382747,6420.280213366035,6368.939586383292,70623.0823470264,70063.47176722545,-1.373105879421582e-19,-6.782671049992047e-21,6.287697367238147e-08,6.166935091291794e-11,-0.02637301524577107,-0.0012192413361130036
0.18333333333333332,10.0,5.0,40.0,25.0,29.0,53.57,28.976499640847617,53.565959718159604,222.62265879332617,215.15014494495907,220.45537679085913,215.02766911202127,6420.280213366035,6370.074452940587,77043.36256039243,76433.54622016604,-1.4236282744911174e-19,-7.226598517043355e-21,7.046772167650244e-08,6.233297541784996e-11,-0.026374854429157754,-0.0012192933650686576
0.2,10.0,5.0,40.0,25.0,29.0,53.57,28.97463085594288,53.56563610499184,222.62265879332617,215.15014494495907,220.49689979838044,215.0276135606578,6420.280213366035,6371.181870760759,83463.64277375846,82804.7280909268,-1.4697610174167802e-19,-7.654863985741567e-21,7.774490103006398e-08,6.261392013644692e-11,-0.02637664882712306,-0.0012193443091389228
0.21666666666666667,10.0,5.0,40.0,25.0,29.0,53.57,28.972807250480436,53.565319909215354,222.62265879332617,215.15014494495907,220.53741710287676,215.02755902994008,6420.280213366035,6372.262506870215,89883.92298712449,89176.99059779702,-1.5122426308252522e-19,-8.068802294189792e-21,8.46692826558573e-08,6.260409485015136e-11,-0.026378402490633078,-0.0012193940812168045
