episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-1774.6715752493808,-0.8873357876246905,6388.034197447298,-0.8873357876246905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09299432657173852,0.10000000000000002,nan,nan,nan,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,0.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1774.6715752493808,-0.8873357876246905,6388.034197447298,6388.034197447298,6388.034197447298,0.0,nan,6389.039849542907
1,-1796.2715311877678,-0.8981357655938839,6389.999319057018,-0.8971613956732913,0.0,0.0009323491553640746,0.6915,4.202076522857986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08403470882238492,0.1,0.8672871589660645,0.8070121705532074,5.866860389709473,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,2000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1776.2878157498087,-0.8881439078749042,6388.034197447298,6388.034197447298,6388.034197447298,0.0,nan,6389.039849542907
2,-1860.7021952409993,-0.9303510976204997,6396.442972122311,-0.9293796609997733,0.0,0.0009322876505255665,0.6865,3.914897019854024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09897731662188437,0.05927807465195656,1.1032878160476685,1.3348976969718933,12.744059562683105,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,4000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
3,-1821.125545018993,-0.9105627725094966,6392.500658293049,-0.9096680918534964,0.0,0.0008686594095896669,0.7645,2.602124640905033e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09005575061429695,0.03433782234787941,-0.11702442169189453,2.0966328382492065,19.153831481933594,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,6000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
4,-1836.5709007451865,-0.9182854503725932,6394.092478843648,-0.9176271946064433,0.0,0.0006512759975205476,0.8935,6.979768627400632e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08467510633777948,0.02768111415207386,-1.506370186805725,0.8230721950531006,25.059551239013672,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,8000.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
5,-1714.7811736053052,-0.8573905868026526,6381.854781194724,-0.85643870636188,0.0,0.0009093338988204336,0.5185,4.25465419522293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11152462797608957,0.031020289286971092,-2.7799365520477295,0.8865107893943787,29.608495712280273,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,10000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1809.898585147496,-0.904949292573748,6391.531482330448,6388.034197447298,6391.531482330448,-0.054747435205463574,nan,6389.039849542907
6,-1855.9939031000506,-0.9279969515500253,6396.12447557725,-0.9277871782745247,0.0,0.00015770347403682426,0.1915,5.206980146751768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07723918759068163,0.033318910747766495,-1.9483983516693115,7.337686777114868,34.0920295715332,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,12000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
7,-1805.5654056605686,-0.9027827028302843,6390.8255252046365,-0.9012924264114281,0.0,0.0014529974293423502,0.786,3.727898951317911e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09038868299966467,0.044653553515672684,-3.040980100631714,4.4940619468688965,35.95789337158203,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,14000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
8,-1765.7166892392004,-0.8828583446196002,6386.984214669499,-0.8820858737357222,0.0,0.0007367616344386561,0.45,3.5709249440284474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09896618945275598,0.030406996607780457,-0.7325292229652405,1.2616524696350098,41.030818939208984,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,16000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
9,-1840.2427873853735,-0.9201213936926868,6394.526388134169,-0.919796741059082,0.0,0.00031036790567373054,0.1835,1.4284727929218882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08890233551163526,0.026372049003839493,-0.9523316621780396,11.164575099945068,42.96320343017578,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,18000.0,15.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
