episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
0.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85.0,0.25,-0.8873555543225083,6388.036407004082,-1.97666978178912e-05,-3.45889943039874e-05,0.0,0.0,0.0,0.0,0.0,0.7324999999999999,1.0,0.0,0.0
85.0,0.5,-0.8874033803063401,6388.040640106211,-6.759268164968635e-05,-0.00010085510994765181,0.0,0.0,0.0,0.0,0.0,0.8326666666666666,1.0,0.0,0.0
85.0,0.75,-0.8874662394427166,6388.044134194104,-0.00013045181802617822,-0.00015555249861466246,0.0,0.0,0.0,0.0,0.0,0.9588333333333333,1.0,0.0,0.0
85.0,1.0,-0.8875374120337041,6388.045153284899,-0.00020162440901361212,-0.0001715056191463709,0.0,0.0,0.0,0.0,0.0,0.9901666666666666,1.0,0.0,0.0
10.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.0,0.25,-0.8874711351757756,6388.060990437728,-0.00013534755108512986,-0.00041942465556933395,0.0,0.0,0.0,0.0,0.0,0.2663333333333333,1.0,0.0,0.0
10.0,0.5,-0.8874892083770733,6388.062410925661,-0.00015342075238289343,-0.00044166135452233536,0.0,0.0,0.0,0.0,0.0,0.755,1.0,0.0,0.0
10.0,0.75,-0.8875364280513237,6388.063805629168,-0.00020064042663325843,-0.00046349441714640797,0.0,0.0,0.0,0.0,0.0,0.9733333333333333,1.0,0.0,0.0
10.0,1.0,-0.8876149215799218,6388.064063494977,-0.00027913395523138096,-0.0004675311176502657,0.0,0.0,0.0,0.0,0.0,0.9938333333333333,1.0,0.0,0.0
100.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100.0,0.25,-0.887356911581124,6388.03500180498,-2.1123956433499735e-05,-1.2591630818188062e-05,0.0,0.0,0.0,0.0,0.0,0.9824999999999999,1.0,0.0,0.0
100.0,0.5,-0.8874125719363318,6388.035860509648,-7.678431164137578e-05,-2.6034023911168054e-05,0.0,0.0,0.0,0.0,0.0,0.9836666666666667,1.0,0.0,0.0
100.0,0.75,-0.887502231802952,6388.03666921632,-0.00016644417826150448,-3.8693734969516166e-05,0.0,0.0,0.0,0.0,0.0,0.9908333333333333,1.0,0.0,0.0
100.0,1.0,-0.8876237431037483,6388.036996499231,-0.00028795547905779983,-4.381710940188122e-05,0.0,0.0,0.0,0.0,0.0,0.999,1.0,0.0,0.0
175.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175.0,0.25,-0.8873361180447924,6388.030983682199,-3.3042010194606064e-07,5.030914048674644e-05,0.0,0.0,0.0,0.0,0.0,0.7328333333333333,1.0,0.0,0.0
175.0,0.5,-0.8873990155546462,6388.032663615032,-6.322792995572257e-05,2.401102151481023e-05,0.0,0.0,0.0,0.0,0.0,0.9908333333333333,1.0,0.0,0.0
175.0,0.75,-0.887502714618059,6388.033331567744,-0.00016692699336851025,1.3554710673728737e-05,0.0,0.0,0.0,0.0,0.0,0.9946666666666667,1.0,0.0,0.0
175.0,1.0,-0.8876521143055315,6388.033841701416,-0.0003163266808410281,5.568941403310719e-06,0.0,0.0,0.0,0.0,0.0,0.9953333333333334,1.0,0.0,0.0
105.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105.0,0.25,-0.887362514089025,6388.035135092569,-2.6726464334547728e-05,-1.467815047245731e-05,0.0,0.0,0.0,0.0,0.0,0.9853333333333333,1.0,0.0,0.0
105.0,0.5,-0.8874329487448156,6388.035960619869,-9.716112012514433e-05,-2.7601176150204116e-05,0.0,0.0,0.0,0.0,0.0,0.9886666666666667,1.0,0.0,0.0
105.0,0.75,-0.887546801067868,6388.036603278825,-0.00021101344317753234,-3.766153175105246e-05,0.0,0.0,0.0,0.0,0.0,0.9968333333333333,1.0,0.0,0.0
105.0,1.0,-0.8877039056708322,6388.037020910167,-0.00036811804614178545,-4.419924473908351e-05,0.0,0.0,0.0,0.0,0.0,0.9986666666666667,1.0,0.0,0.0
170.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170.0,0.25,-0.887348420731804,6388.033474964595,-1.2633107113524389e-05,1.1309937923422278e-05,0.0,0.0,0.0,0.0,0.0,0.6920000000000001,1.0,0.0,0.0
170.0,0.5,-0.8874160918765872,6388.03486536111,-8.030425189675672e-05,-1.0455701890085189e-05,0.0,0.0,0.0,0.0,0.0,0.9950000000000001,1.0,0.0,0.0
170.0,0.75,-0.8875378405275649,6388.035644344968,-0.00020205290287445,-2.2650124057787587e-05,0.0,0.0,0.0,0.0,0.0,0.9963333333333333,1.0,0.0,0.0
170.0,1.0,-0.8877158708897209,6388.036078489444,-0.00038008326503047307,-2.9446338074953058e-05,0.0,0.0,0.0,0.0,0.0,0.9968333333333333,1.0,0.0,0.0
95.0,0.0,-0.8873357876246905,6388.034197447298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95.0,0.25,-0.8873818469922253,6388.039629828858,-4.6059367534878604e-05,-8.503995740052535e-05,0.0,0.0,0.0,0.0,0.0,0.8008333333333333,1.0,0.0,0.0
95.0,0.5,-0.8874658510702735,6388.044740637687,-0.00013006344558308403,-0.00016504592905297518,0.0,0.0,0.0,0.0,0.0,0.9561666666666667,1.0,0.0,0.0
95.0,0.75,-0.8875740033540057,6388.046157130074,-0.00023821572931526092,-0.00018722008064749987,0.0,0.0,0.0,0.0,0.0,0.9953333333333333,1.0,0.0,0.0
