episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-0.8873357876246905,-0.8873357876246905,0.0
1.0,-0.8881439078749042,-0.8873357876246905,0.0
5.0,-0.904949292573748,-0.8873357876246905,0.0
10.0,-0.8876149215799218,-0.8873357876246905,0.0
15.0,-0.8959084050477224,-0.8873357876246905,0.0
20.0,-0.8960519572627529,-0.8873357876246905,0.0
25.0,-0.8885407465970386,-0.8873357876246905,0.0
30.0,-0.888057060325425,-0.8873357876246905,0.0
35.0,-0.8882697151089642,-0.8873357876246905,0.0
40.0,-0.8879688513428322,-0.8873357876246905,0.0
45.0,-0.8882065337916863,-0.8873357876246905,0.0
50.0,-0.8882796875953517,-0.8873357876246905,0.0
55.0,-0.8881045243028809,-0.8873357876246905,0.0
60.0,-0.8880750925046321,-0.8873357876246905,0.0
65.0,-0.8877512414506007,-0.8873357876246905,0.0
70.0,-0.8879569772280421,-0.8873357876246905,0.0
75.0,-0.8879568038375224,-0.8873357876246905,0.0
80.0,-0.8881693267419518,-0.8873357876246905,0.0
85.0,-0.8875374120337041,-0.8873357876246905,0.0
90.0,-0.8892202373111319,-0.8873357876246905,0.0
95.0,-0.8877205403111553,-0.8873357876246905,0.0
100.0,-0.8876237431037483,-0.8873357876246905,0.0
105.0,-0.8877039056708322,-0.8873357876246905,0.0
110.0,-0.8881299636307421,-0.8873357876246905,0.0
115.0,-0.8882429245538078,-0.8873357876246905,0.0
120.0,-0.8883603687117237,-0.8873357876246905,0.0
125.0,-0.8884003136524511,-0.8873357876246905,0.0
130.0,-0.8879447357502076,-0.8873357876246905,0.0
135.0,-0.8884339067157248,-0.8873357876246905,0.0
140.0,-0.8885203280057623,-0.8873357876246905,0.0
145.0,-0.888327960881164,-0.8873357876246905,0.0
150.0,-0.887761336010653,-0.8873357876246905,0.0
155.0,-0.8881819765870098,-0.8873357876246905,0.0
160.0,-0.8881211333003579,-0.8873357876246905,0.0
165.0,-0.8881575839427955,-0.8873357876246905,0.0
170.0,-0.8877158708897209,-0.8873357876246905,0.0
175.0,-0.8876521143055315,-0.8873357876246905,0.0
180.0,-0.8882416242573147,-0.8873357876246905,0.0
185.0,-0.8887499324624413,-0.8873357876246905,0.0
190.0,-0.8896132981589124,-0.8873357876246905,0.0
195.0,-0.8902012727743686,-0.8873357876246905,0.0
200.0,-0.8888930455693744,-0.8873357876246905,0.0
